scenario,scheme,seed,offered_load_factor,stop_time_s,flow_count,completed_flow_count,incomplete_flow_count,completion_ratio,total_sent_bytes,total_received_bytes,actual_offered_bps,actual_received_bps,avg_received_throughput_bps,avg_fct_s,p95_fct_s,eps_path_count,ocs_path_count,ocs_assigned_flows,ocs_assigned_bytes,ocs_byte_hit_rate,eps_avg_link_utilization,eps_max_link_utilization,avg_volume_tl_jaccard,avg_volume_oracle_jaccard,avg_tl_oracle_jaccard,avg_selected_oracle_jaccard,avg_volume_future_demand_coverage,avg_tl_future_demand_coverage,avg_oracle_future_demand_coverage,avg_historical_future_pearson,avg_historical_future_topk_jaccard,avg_demand_drift_ratio,selected_but_unused_lightpaths,volume_oracle_possible_bytes_missed,tl_oracle_possible_bytes_missed,avg_corr_target_matrix_d_future,avg_target_d_future_matrix_error,replay_audit_gate_pass
cross-community-distractor-replay,eps-ecmp,1401,0.5,0.05,380,167,213,0.439473684211,524128800,280201776,83860608000,44832284160,44832284160,0.0114402134192,0.025029232,380,0,0,0,0,0.64844343,0.890731488,,,,,,,,,,,0,0,0,1,1.30695390133e-16,true
cross-community-distractor-replay,eps-ecmp,1401,0.7,0.05,570,152,418,0.266666666667,786193200,278701464,125790912000,44592234240,44592234240,0.0152647388026,0.030898865,570,0,0,0,0,0.646760394,0.899609536,,,,,,,,,,,0,0,0,1,0,true
cross-community-distractor-replay,ocs-oracle,1401,0.5,0.05,380,245,135,0.644736842105,524128800,403487520,83860608000,64558003200,64558003200,0.00831671891837,0.02263741,236,144,144,276480000,0.527503926516,0.367271414,0.891286752,0.866666666667,0.866666666667,1,1,0.502883846251,0.538879299457,0.538879299457,0.844156173985,0.975308641975,10.1059478554,0,30720000,0,1,1.30695390133e-16,true
cross-community-distractor-replay,ocs-oracle,1401,0.7,0.05,570,276,294,0.484210526316,786193200,508669200,125790912000,81387072000,81387072000,0.00933999263043,0.029029407,364,206,206,378480000,0.481408386641,0.423070612,0.900025888,0.933333333333,0.933333333333,1,1,0.526600148753,0.538879299457,0.538879299457,0.831640165167,0.901234567901,12.0819144131,0,21780000,0,1,0,true
cross-community-distractor-replay,ocs-volume,1401,0.5,0.05,380,252,128,0.663157894737,524128800,414990920,83860608000,66398547200,66398547200,0.00818750297222,0.0228172,244,136,136,263880000,0.503464034031,0.420959056,0.89112336,0.933333333333,0.866666666667,0.933333333333,0.866666666667,0.514320998049,0.526600148753,0.538879299457,0.865893840697,0.901234567901,10.0825493505,0,29040000,14520000,1,1.30695390133e-16,true
cross-community-distractor-replay,ocs-volume,1401,0.7,0.05,570,265,305,0.464912280702,786193200,470118568,125790912000,75218970880,75218970880,0.00964429771698,0.028472829,417,153,153,296910000,0.377655263363,0.509115534,0.898918432,0.933333333333,0.4,0.466666666667,0.4,0.428366943123,0.440646093827,0.538879299457,0.911990274531,0.802469135803,13.5186041904,0,196020000,174240000,1,0,true
cross-community-distractor-replay,tl-ocs,1401,0.5,0.05,380,245,135,0.644736842105,524128800,403487520,83860608000,64558003200,64558003200,0.00831671891837,0.02263741,236,144,144,276480000,0.527503926516,0.367271414,0.891286752,0.866666666667,0.866666666667,1,1,0.502883846251,0.538879299457,0.538879299457,0.844156173985,0.975308641975,10.1059478554,0,30720000,0,1,1.30695390133e-16,true
cross-community-distractor-replay,tl-ocs,1401,0.7,0.05,570,276,294,0.484210526316,786193200,508669200,125790912000,81387072000,81387072000,0.00933999263043,0.029029407,364,206,206,378480000,0.481408386641,0.423070612,0.900025888,0.933333333333,0.933333333333,1,1,0.526600148753,0.538879299457,0.538879299457,0.831640165167,0.901234567901,12.0819144131,0,21780000,0,1,0,true
high-degree-aggregator-bias-replay,eps-ecmp,1401,0.5,0.05,494,114,380,0.230769230769,595176000,237546888,95228160000,38007502080,38007502080,0.0114435875526,0.021205163,494,0,0,0,0,0.551650002,0.910109216,,,,,,,,,,,0,0,0,1,0,true
high-degree-aggregator-bias-replay,eps-ecmp,1401,0.7,0.05,741,104,637,0.140350877193,892764000,239003184,142842240000,38240509440,38240509440,0.0130565091923,0.02860184,741,0,0,0,0,0.556239082,0.911286432,,,,,,,,,,,0,0,0,1,0,true
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.5,0.05,494,209,285,0.423076923077,595176000,374488680,95228160000,59918188800,59918188800,0.00913152948325,0.0375495,350,144,144,248832000,0.418081374249,0.355088392,0.910104224,0.933333333333,0.888888888889,0.925925925926,1,0.410047018065,0.420605460694,0.427616926503,0.841512928665,0.91452991453,10.3720144265,0,27648000,12960000,1,0,true
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,0.05,741,256,485,0.345479082321,892764000,482543984,142842240000,77207037440,77207037440,0.00785478464062,0.030089149,530,211,211,359088000,0.402220519645,0.384907588,0.91128,0.888888888889,0.888888888889,1,1,0.410047018065,0.427616926503,0.427616926503,0.803870536989,0.91452991453,13.3096976318,0,41472000,0,1,0,true
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,0.05,494,211,283,0.427125506073,595176000,346265528,95228160000,55402484480,55402484480,0.00911493891469,0.038372744,366,128,128,182736000,0.307028509214,0.429193776,0.910101888,0.811111111111,0.222222222222,0.277777777778,0.222222222222,0.314031180401,0.339272457312,0.427616926503,0.72033713372,0.716999050333,10.6228686115,0,163104000,139872000,1,0,true
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,0.05,741,261,480,0.352226720648,892764000,452074320,142842240000,72331891200,72331891200,0.00811340927586,0.034531795,542,199,199,285576000,0.319878489724,0.463092642,0.911277792,0.888888888889,0.259259259259,0.37037037037,0.259259259259,0.343396848965,0.360966757403,0.427616926503,0.694889941286,0.697245963913,13.4720433653,0,219024000,177552000,1,0,true
