scenario,seed,offered_load_factor,scheme,avg_fct_s,oracle_avg_fct_s,avg_fct_ratio_vs_oracle,p95_fct_s,oracle_p95_fct_s,p95_fct_ratio_vs_oracle,completion_ratio,oracle_completion_ratio,completion_ratio_gap_vs_oracle,avg_received_throughput_bps,oracle_avg_received_throughput_bps,throughput_ratio_vs_oracle,avg_selected_oracle_jaccard,avg_future_demand_coverage,oracle_future_demand_coverage,oracle_possible_bytes_missed
cross-community-distractor-replay,1401,0.5,eps-ecmp,0.0114402134192,0.00831671891837,1.37556812145,0.025029232,0.02263741,1.10565793525,0.439473684211,0.644736842105,0.205263157895,44832284160,64558003200,0.694449672198,,,,0
cross-community-distractor-replay,1401,0.5,ocs-volume,0.00818750297222,0.00831671891837,0.984463110102,0.0228172,0.02263741,1.00794216299,0.663157894737,0.644736842105,-0.0184210526316,66398547200,64558003200,1.02850992764,0.866666666667,0.514320998049,0.538879299457,29040000
cross-community-distractor-replay,1401,0.5,tl-ocs,0.00831671891837,0.00831671891837,1,0.02263741,0.02263741,1,0.644736842105,0.644736842105,0,64558003200,64558003200,1,1,0.538879299457,0.538879299457,0
cross-community-distractor-replay,1401,0.7,eps-ecmp,0.0152647388026,0.00933999263043,1.63434163244,0.030898865,0.029029407,1.0643987664,0.266666666667,0.484210526316,0.217543859649,44592234240,81387072000,0.547903163785,,,,0
cross-community-distractor-replay,1401,0.7,ocs-volume,0.00964429771698,0.00933999263043,1.03258087009,0.028472829,0.029029407,0.980827097157,0.464912280702,0.484210526316,0.019298245614,75218970880,81387072000,0.924212765389,0.4,0.428366943123,0.538879299457,196020000
cross-community-distractor-replay,1401,0.7,tl-ocs,0.00933999263043,0.00933999263043,1,0.029029407,0.029029407,1,0.484210526316,0.484210526316,0,81387072000,81387072000,1,1,0.538879299457,0.538879299457,0
high-degree-aggregator-bias-replay,1401,0.5,eps-ecmp,0.0114435875526,0.00913152948325,1.25319505058,0.021205163,0.0375495,0.564725575574,0.230769230769,0.423076923077,0.192307692308,38007502080,59918188800,0.634323280479,,,,0
high-degree-aggregator-bias-replay,1401,0.5,ocs-volume,0.00911493891469,0.00913152948325,0.998183155561,0.038372744,0.0375495,1.02192423335,0.427125506073,0.423076923077,-0.00404858299595,55402484480,59918188800,0.924635500331,0.222222222222,0.314031180401,0.427616926503,163104000
high-degree-aggregator-bias-replay,1401,0.5,tl-ocs,0.0097113814455,0.00913152948325,1.06349998248,0.037276171,0.0375495,0.992720835164,0.427125506073,0.423076923077,-0.00404858299595,54234831360,59918188800,0.90514804346,0.333333333333,0.364513734224,0.427616926503,116640000
high-degree-aggregator-bias-replay,1401,0.7,eps-ecmp,0.0130565091923,0.00785478464062,1.66223643164,0.02860184,0.030089149,0.950569921403,0.140350877193,0.345479082321,0.205128205128,38240509440,77207037440,0.49529823586,,,,0
high-degree-aggregator-bias-replay,1401,0.7,ocs-volume,0.00811340927586,0.00785478464062,1.03292574489,0.034531795,0.030089149,1.14764944,0.352226720648,0.345479082321,-0.00674763832659,72331891200,77207037440,0.936856193404,0.259259259259,0.343396848965,0.427616926503,219024000
high-degree-aggregator-bias-replay,1401,0.7,tl-ocs,0.00785478464062,0.00785478464062,1,0.030089149,0.030089149,1,0.345479082321,0.345479082321,0,77207037440,77207037440,1,1,0.427616926503,0.427616926503,0
