target_matrix_name,scenario,load,seed,period_index,target_top_k_edges,actual_observed_w_prev_top_k_edges,actual_future_d_future_top_k_edges,corr_target_matrix_w_prev,corr_target_matrix_d_future,corr_w_prev_d_future,top_k_overlap_target_w_prev,top_k_overlap_target_d_future,top_k_overlap_w_prev_d_future,normalized_matrix_error_target_w_prev,normalized_matrix_error_target_d_future,demand_drift_ratio,volume_selected_edges_on_target,tl_selected_edges_on_target,volume_selected_edges_on_actual_w_prev,tl_selected_edges_on_actual_w_prev,volume_tl_jaccard_on_target,volume_tl_jaccard_on_actual_w_prev,tl_future_demand_coverage,volume_future_demand_coverage,oracle_future_demand_coverage,gate_pass,gate_failure_reason
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,1,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,2,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,3,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,4,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,5,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,6,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,7,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,8,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.5,1401,9,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:1584000.000;0-1:1260000.000;1-2:1260000.000;2-3:1260000.000;4-5:1260000.000;5-6:1260000.000;6-7:1260000.000;0-4:696000.000,6-7:9900000.000;0-1:8220000.000;1-2:8220000.000;2-3:6300000.000;4-5:6300000.000;3-4:4435200.000;5-6:4032000.000;0-4:3480000.000,1,1,0.926021961999,1,1,1,0,1.30695390133e-16,4.15248782133,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:1584000.000;0-1:1260000.000;5-6:1260000.000,3-4:1129021.692;6-7:1082342.733;0-1:982086.768,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
cross-community-distractor-replay:history-to-combined-future,cross-community-distractor-replay,0.7,1401,1,6-7:825.000;0-1:685.000;1-2:685.000;2-3:525.000;4-5:525.000;3-4:369.600;5-6:336.000;0-4:290.000,3-4:2376000.000;0-1:1890000.000;1-2:1890000.000;2-3:1890000.000;4-5:1890000.000;5-6:1890000.000;6-7:1890000.000;0-4:1044000.000,6-7:14850000.000;0-1:12330000.000;1-2:12330000.000;2-3:9450000.000;4-5:9450000.000;3-4:6652800.000;5-6:6048000.000;0-4:5220000.000,1,1,0.926021961999,1,1,1,0,0,4.15249007322,3-4:132.000;0-1:105.000;5-6:105.000,3-4:94.085;6-7:90.195;0-1:81.841,3-4:2376000.000;0-1:1890000.000;5-6:1890000.000,3-4:1693532.538;6-7:1623514.100;0-1:1473130.152,0.5,0.5,0.395655285648,0.292720919463,0.538879299457,true,
