scenario,scheme,seed,offered_load_factor,cycle,round_start_s,round_end_s,observed_matrix_bytes,future_demand_bytes,selected_edge_count,active_edge_count,selected_hit_flows,selected_hit_bytes,selected_but_unused_lightpaths,selected_edge_jaccard,selected_oracle_jaccard,volume_oracle_jaccard,tl_oracle_jaccard,volume_future_demand_coverage,tl_future_demand_coverage,oracle_future_demand_coverage,historical_future_pearson,historical_future_topk_jaccard,demand_drift_ratio,volume_oracle_possible_bytes_missed,tl_oracle_possible_bytes_missed,volume_selected_edges,tl_ocs_selected_edges,oracle_selected_edges,raw_a_top_edges,tl_g_top_edges,future_demand_top_edges
cross-community-distractor-replay,ocs-oracle,1401,0.5,1,0.005,0.01,1035096,57007200,4,4,16,30720000,0,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,14520000,0,"1-2(score=132478,gain=132478);4-5(score=109036,gain=109036);6-7(score=96268,gain=96268)","0-1(score=85024.6,gain=85024.6);6-7(score=82850.6,gain=82850.6);2-3(score=73219.2,gain=73219.2);4-5(score=64700.2,gain=64700.2)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","1-2(score=132478,gain=132478);0-1(score=120732,gain=120732);4-5(score=109036,gain=109036);5-6(score=107856,gain=107856);2-3(score=104316,gain=104316);6-7(score=96268,gain=96268);3-4(score=96106,gain=96106);0-4(score=95944,gain=95944)","0-1(score=85024.5950057,gain=85024.5950057);6-7(score=82850.6014631,gain=82850.6014631);2-3(score=73219.1992743,gain=73219.1992743);4-5(score=64700.1807079,gain=64700.1807079);0-4(score=64430.9277168,gain=64430.9277168);1-2(score=39772.3832224,gain=39772.3832224);1-5(score=37713.1636486,gain=37713.1636486);3-4(score=33478.4440429,gain=33478.4440429)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,2,0.01,0.015,11782496,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.878079826307,0.777777777778,3.83828985902,0,0,"2-3(score=2.72996e+06,gain=2.72996e+06);6-7(score=1.96622e+06,gain=1.96622e+06);0-1(score=1.9481e+06,gain=1.9481e+06);4-5(score=1.29744e+06,gain=1.29744e+06)","2-3(score=2.14507e+06,gain=2.14507e+06);6-7(score=1.6932e+06,gain=1.6932e+06);0-1(score=1.60323e+06,gain=1.60323e+06);4-5(score=1.01869e+06,gain=1.01869e+06)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2729964,gain=2729964);6-7(score=1966222,gain=1966222);0-1(score=1948104,gain=1948104);4-5(score=1297440,gain=1297440);3-4(score=682126,gain=682126);1-2(score=669372,gain=669372);5-6(score=665774,gain=665774);2-6(score=640126,gain=640126)","2-3(score=2145070.61682,gain=2145070.61682);6-7(score=1693201.82401,gain=1693201.82401);0-1(score=1603234.00649,gain=1603234.00649);4-5(score=1018691.99514,gain=1018691.99514);3-4(score=157354.216578,gain=157354.216578);5-6(score=153163.642093,gain=153163.642093);0-4(score=144042.334225,gain=144042.334225);1-5(score=134596.34926,gain=134596.34926)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,3,0.015,0.02,9034090,57007200,4,4,16,30720000,0,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,16200000,0,"2-3(score=2.71189e+06,gain=2.71189e+06);5-6(score=879804,gain=879804);0-1(score=812312,gain=812312)","2-3(score=1.94882e+06,gain=1.94882e+06);6-7(score=773635,gain=773635);0-1(score=657784,gain=657784);4-5(score=538272,gain=538272)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2711886,gain=2711886);5-6(score=879804,gain=879804);6-7(score=876776,gain=876776);1-2(score=836548,gain=836548);0-1(score=812312,gain=812312);3-4(score=807630,gain=807630);4-5(score=783630,gain=783630);0-4(score=538442,gain=538442)","2-3(score=1948824.82121,gain=1948824.82121);6-7(score=773634.919602,gain=773634.919602);0-1(score=657784.231676,gain=657784.231676);5-6(score=634932.043981,gain=634932.043981);4-5(score=538271.867361,gain=538271.867361);3-4(score=196391.776847,gain=196391.776847);1-2(score=194200.190166,gain=194200.190166);0-4(score=189614.102811,gain=189614.102811)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,4,0.02,0.025,10191494,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,"2-3(score=2.72057e+06,gain=2.72057e+06);6-7(score=1.8368e+06,gain=1.8368e+06);0-1(score=913500,gain=913500);4-5(score=838496,gain=838496)","2-3(score=2.03416e+06,gain=2.03416e+06);6-7(score=1.55411e+06,gain=1.55411e+06);0-1(score=749647,gain=749647);4-5(score=626240,gain=626240)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2720570,gain=2720570);6-7(score=1836796,gain=1836796);0-1(score=913500,gain=913500);1-2(score=870726,gain=870726);4-5(score=838496,gain=838496);5-6(score=771844,gain=771844);3-4(score=675612,gain=675612);0-4(score=572926,gain=572926)","2-3(score=2034157.27643,gain=2034157.27643);6-7(score=1554106.77438,gain=1554106.77438);0-1(score=749646.796631,gain=749646.796631);4-5(score=626240.329451,gain=626240.329451);0-4(score=420729.393669,gain=420729.393669);1-5(score=234139.864342,gain=234139.864342);5-6(score=226401.698563,gain=226401.698563);1-2(score=208301.31021,gain=208301.31021)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,5,0.025,0.03,10391694,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,"2-3(score=2.55587e+06,gain=2.55587e+06);6-7(score=2.14768e+06,gain=2.14768e+06);0-1(score=916974,gain=916974);4-5(score=901214,gain=901214)","2-3(score=1.95387e+06,gain=1.95387e+06);6-7(score=1.80354e+06,gain=1.80354e+06);0-1(score=750729,gain=750729);4-5(score=665236,gain=665236)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2555866,gain=2555866);6-7(score=2147682,gain=2147682);0-1(score=916974,gain=916974);4-5(score=901214,gain=901214);3-4(score=738418,gain=738418);1-2(score=736232,gain=736232);5-6(score=676718,gain=676718);0-4(score=624570,gain=624570)","2-3(score=1953865.10593,gain=1953865.10593);6-7(score=1803542.61277,gain=1803542.61277);0-1(score=750729.041371,gain=750729.041371);4-5(score=665235.893132,gain=665235.893132);0-4(score=456629.767739,gain=456629.767739);1-5(score=354543.975477,gain=354543.975477);3-4(score=189764.618233,gain=189764.618233);5-6(score=164815.921745,gain=164815.921745)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,6,0.03,0.035,9908404,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,"2-3(score=2.59454e+06,gain=2.59454e+06);6-7(score=1.58974e+06,gain=1.58974e+06);0-1(score=926888,gain=926888);4-5(score=841520,gain=841520)","2-3(score=1.92855e+06,gain=1.92855e+06);6-7(score=1.35883e+06,gain=1.35883e+06);0-1(score=749970,gain=749970);4-5(score=613911,gain=613911)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2594544,gain=2594544);6-7(score=1589742,gain=1589742);0-1(score=926888,gain=926888);4-5(score=841520,gain=841520);1-2(score=817340,gain=817340);3-4(score=719426,gain=719426);5-6(score=718130,gain=718130);0-4(score=647318,gain=647318)","2-3(score=1928552.15603,gain=1928552.15603);6-7(score=1358825.50557,gain=1358825.50557);0-1(score=749969.90282,gain=749969.90282);4-5(score=613911.154007,gain=613911.154007);0-4(score=471898.101983,gain=471898.101983);1-5(score=253343.22754,gain=253343.22754);5-6(score=210720.941015,gain=210720.941015);1-2(score=184883.058732,gain=184883.058732)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,7,0.035,0.04,9772752,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,"2-3(score=2.72422e+06,gain=2.72422e+06);6-7(score=1.47452e+06,gain=1.47452e+06);0-1(score=957106,gain=957106);4-5(score=688830,gain=688830)","2-3(score=2.00416e+06,gain=2.00416e+06);6-7(score=1.26865e+06,gain=1.26865e+06);0-1(score=772786,gain=772786);4-5(score=490788,gain=490788)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2724218,gain=2724218);6-7(score=1474522,gain=1474522);0-1(score=957106,gain=957106);1-2(score=836170,gain=836170);5-6(score=720016,gain=720016);3-4(score=712852,gain=712852);4-5(score=688830,gain=688830);0-4(score=591322,gain=591322)","2-3(score=2004159.06031,gain=2004159.06031);6-7(score=1268653.10608,gain=1268653.10608);0-1(score=772785.788812,gain=772785.788812);4-5(score=490788.122296,gain=490788.122296);0-4(score=433432.840544,gain=433432.840544);1-5(score=302167.402168,gain=302167.402168);5-6(score=224425.006757,gain=224425.006757);3-4(score=181191.473986,gain=181191.473986)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,8,0.04,0.045,10280224,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,"2-3(score=2.72341e+06,gain=2.72341e+06);6-7(score=1.37834e+06,gain=1.37834e+06);4-5(score=1.20333e+06,gain=1.20333e+06);0-1(score=1.07413e+06,gain=1.07413e+06)","2-3(score=2.03222e+06,gain=2.03222e+06);6-7(score=1.20365e+06,gain=1.20365e+06);4-5(score=910398,gain=910398);0-1(score=876354,gain=876354)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2723408,gain=2723408);6-7(score=1378336,gain=1378336);4-5(score=1203332,gain=1203332);0-1(score=1074130,gain=1074130);1-2(score=843758,gain=843758);3-4(score=726452,gain=726452);5-6(score=675296,gain=675296);0-4(score=617756,gain=617756)","2-3(score=2032215.75607,gain=2032215.75607);6-7(score=1203645.90851,gain=1203645.90851);4-5(score=910397.551416,gain=910397.551416);0-1(score=876354.152755,gain=876354.152755);0-4(score=408123.05521,gain=408123.05521);1-5(score=209194.284612,gain=209194.284612);5-6(score=187829.589242,gain=187829.589242);1-2(score=181109.140312,gain=181109.140312)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.5,9,0.045,0.05,10326974,57007200,4,4,16,30720000,0,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,"2-3(score=2.72803e+06,gain=2.72803e+06);6-7(score=1.88565e+06,gain=1.88565e+06);0-1(score=1.09456e+06,gain=1.09456e+06);4-5(score=883884,gain=883884)","2-3(score=2.05222e+06,gain=2.05222e+06);6-7(score=1.60188e+06,gain=1.60188e+06);0-1(score=902775,gain=902775);4-5(score=680075,gain=680075)","6-7(score=9.9e+06,gain=9.9e+06);0-1(score=8.22e+06,gain=8.22e+06);2-3(score=6.3e+06,gain=6.3e+06);4-5(score=6.3e+06,gain=6.3e+06)","2-3(score=2728028,gain=2728028);6-7(score=1885652,gain=1885652);0-1(score=1094558,gain=1094558);4-5(score=883884,gain=883884);1-2(score=846002,gain=846002);5-6(score=670676,gain=670676);3-4(score=654962,gain=654962);0-4(score=564984,gain=564984)","2-3(score=2052220.40368,gain=2052220.40368);6-7(score=1601875.72358,gain=1601875.72358);0-1(score=902774.595642,gain=902774.595642);4-5(score=680075.184813,gain=680075.184813);0-4(score=395941.536745,gain=395941.536745);1-5(score=215067.196615,gain=215067.196615);5-6(score=184781.349626,gain=184781.349626);1-2(score=184594.432954,gain=184594.432954)","6-7(score=9900000,gain=9900000);0-1(score=8220000,gain=8220000);1-2(score=8220000,gain=8220000);2-3(score=6300000,gain=6300000);4-5(score=6300000,gain=6300000);3-4(score=4435200,gain=4435200);5-6(score=4032000,gain=4032000);0-4(score=3480000,gain=3480000)"
cross-community-distractor-replay,ocs-oracle,1401,0.7,1,0.005,0.01,1271190,85510800,4,4,24,46080000,0,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.933579249576,1,66.2673693054,21780000,0,"1-2(score=161030,gain=161030);4-5(score=133940,gain=133940);6-7(score=121920,gain=121920)","0-1(score=111704,gain=111704);6-7(score=104846,gain=104846);2-3(score=91209,gain=91209);4-5(score=80660.9,gain=80660.9)","6-7(score=1.485e+07,gain=1.485e+07);0-1(score=1.233e+07,gain=1.233e+07);2-3(score=9.45e+06,gain=9.45e+06);4-5(score=9.45e+06,gain=9.45e+06)","1-2(score=161030,gain=161030);0-1(score=155666,gain=155666);4-5(score=133940,gain=133940);5-6(score=133670,gain=133670);2-3(score=129968,gain=129968);6-7(score=121920,gain=121920);3-4(score=121758,gain=121758);0-4(score=112156,gain=112156)","0-1(score=111704.459477,gain=111704.459477);6-7(score=104845.598848,gain=104845.598848);2-3(score=91208.9802988,gain=91208.9802988);4-5(score=80660.9409577,gain=80660.9409577);0-4(score=73405.1468671,gain=73405.1468671);1-2(score=48387.1375947,gain=48387.1375947);3-4(score=42668.0291766,gain=42668.0291766);5-6(score=41050.3014892,gain=41050.3014892)","6-7(score=14850000,gain=14850000);0-1(score=12330000,gain=12330000);1-2(score=12330000,gain=12330000);2-3(score=9450000,gain=9450000);4-5(score=9450000,gain=9450000);3-4(score=6652800,gain=6652800);5-6(score=6048000,gain=6048000);0-4(score=5220000,gain=5220000)"
