scenario,scheme,seed,offered_load_factor,normalized_eps_load,drain_label,drain_time_s,completion_ratio,incomplete_flow_count,avg_fct_s,p95_fct_s,avg_received_throughput_bps
cross-community-distractor-replay,eps-ecmp,1401,0.5,1.0482576,D0,0,0.439473684211,213,0.0114402134192,0.025029232,44832284160
cross-community-distractor-replay,eps-ecmp,1401,0.5,1.0482576,D1,0.025,0.786842105263,81,0.0184506486789,0.050424067,69258854400
cross-community-distractor-replay,eps-ecmp,1401,0.5,1.0482576,D2,0.05,0.978947368421,8,0.025612116043,0.068071344,83615850240
cross-community-distractor-replay,eps-ecmp,1401,0.5,1.0482576,D3,0.15,1,0,0.0263187552474,0.067923024,83860608000
cross-community-distractor-replay,ocs-oracle,1401,0.5,1.0482576,D0,0,0.644736842105,135,0.00831671891837,0.02263741,64558003200
cross-community-distractor-replay,ocs-oracle,1401,0.5,1.0482576,D1,0.025,0.944736842105,21,0.0132147266295,0.036932154,79289032960
cross-community-distractor-replay,ocs-oracle,1401,0.5,1.0482576,D2,0.05,0.994736842105,2,0.0156269374048,0.041662606,83820815360
cross-community-distractor-replay,ocs-oracle,1401,0.5,1.0482576,D3,0.15,1,0,0.0158341552237,0.041836742,83860608000
cross-community-distractor-replay,ocs-volume,1401,0.5,1.0482576,D0,0,0.663157894737,128,0.00818750297222,0.0228172,66398547200
cross-community-distractor-replay,ocs-volume,1401,0.5,1.0482576,D1,0.025,0.968421052632,12,0.0129176238777,0.03494195,81088919040
cross-community-distractor-replay,ocs-volume,1401,0.5,1.0482576,D2,0.05,1,0,0.0142381419632,0.037902881,83860608000
cross-community-distractor-replay,ocs-volume,1401,0.5,1.0482576,D3,0.15,1,0,0.0142381419632,0.037902881,83860608000
cross-community-distractor-replay,tl-ocs,1401,0.5,1.0482576,D0,0,0.644736842105,135,0.00831671891837,0.02263741,64558003200
cross-community-distractor-replay,tl-ocs,1401,0.5,1.0482576,D1,0.025,0.944736842105,21,0.0132147266295,0.036932154,79289032960
cross-community-distractor-replay,tl-ocs,1401,0.5,1.0482576,D2,0.05,0.994736842105,2,0.0156269374048,0.041662606,83820815360
cross-community-distractor-replay,tl-ocs,1401,0.5,1.0482576,D3,0.15,1,0,0.0158341552237,0.041836742,83860608000
