scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0000,,0,764,true,empty
cross-community-distractor-replay,1401,0.5,D3,cand0001,0-1,1,764,false,all-single-edge|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0002,0-2,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0003,0-3,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0004,0-4,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0005,0-5,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0006,0-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0007,0-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0008,1-2,1,764,false,all-single-edge|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0009,1-3,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0010,1-4,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0011,1-5,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0012,1-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0013,1-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0014,2-3,1,764,false,all-single-edge|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0015,2-4,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0016,2-5,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0017,2-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0018,2-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0019,3-4,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0020,3-5,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0021,3-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0022,3-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0023,4-5,1,764,false,all-single-edge|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0024,4-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0025,4-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0026,5-6,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0027,5-7,1,764,false,all-single-edge
cross-community-distractor-replay,1401,0.5,D3,cand0028,6-7,1,764,false,all-single-edge|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0029,0-1;2-3,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0030,0-1;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0031,0-1;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0032,0-1;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0033,0-1;2-7,2,764,false,not-selected
