scheme,category_type,category,flow_count,total_bytes,completed_flow_count,completion_ratio,avg_fct_s,p50_fct_s,p90_fct_s,p95_fct_s,avg_size_bytes,ocs_admitted_count,eps_fallback_count,contribution_to_total_fct_sum
eps-ecmp,edge_relation,common_tl_volume_edge,128,247440000,128,1,0.0343916538906,0.025029232,0.060550754,0.069014848,1933125,0,128,4.402131698
eps-ecmp,edge_relation,tl_only_edge,16,29040000,16,1,0.0300345134375,0.010085951,0.074542955,0.07466908,1815000,0,16,0.480552215
eps-ecmp,edge_relation,volume_only_edge,8,16440000,8,1,0.036279677375,0.010065463,0.073774925,0.073774925,2055000,0,8,0.290237419
eps-ecmp,edge_relation,fct_oracle_only_edge,8,5040000,8,1,0.004265749625,0.004218062,0.004362653,0.004362653,630000,0,8,0.034125997
eps-ecmp,edge_relation,selected_by_none,220,226168800,220,1,0.0217912712045,0.018635397,0.039211421,0.059627449,1028040,0,220,4.794079665
eps-ecmp,admission,ocs_admitted,0,0,0,0,,,,,0,0,0,0
eps-ecmp,admission,selected_but_eps_fallback,0,0,0,0,,,,,0,0,0,0
eps-ecmp,admission,selected_and_ocs_admitted,0,0,0,0,,,,,0,0,0,0
eps-ecmp,size_bucket,small,180,94800000,180,1,0.0121087154389,0.010286413,0.020545345,0.021769577,526666.666667,0,180,2.179568779
eps-ecmp,size_bucket,large,200,429328800,200,1,0.039107791075,0.03690869,0.065124948,0.073774925,2146644,0,200,7.821558215
eps-ecmp,time_bucket,before-first-schedule,20,11064000,20,1,0.0039225991,0.004206321,0.004362653,0.004923694,553200,0,20,0.078451982
eps-ecmp,time_bucket,early-period,160,228028800,160,1,0.0246019248562,0.013504719,0.057131234,0.07390794,1425180,0,160,3.936307977
eps-ecmp,time_bucket,late-period,200,285036000,200,1,0.029931835175,0.023490513,0.055767128,0.064179937,1425180,0,200,5.986367035
ocs-volume,edge_relation,common_tl_volume_edge,128,247440000,128,1,0.00565663174219,0.004833306,0.009060444,0.00924142,1933125,128,0,0.724048863
ocs-volume,edge_relation,tl_only_edge,16,29040000,16,1,0.014016804625,0.007286251,0.024035632,0.024236023,1815000,0,16,0.224268874
ocs-volume,edge_relation,volume_only_edge,8,16440000,8,1,0.005704544625,0.004102999,0.008346263,0.008346263,2055000,8,0,0.045636357
ocs-volume,edge_relation,fct_oracle_only_edge,8,5040000,8,1,0.004241472125,0.004231408,0.004315079,0.004315079,630000,0,8,0.033931777
ocs-volume,edge_relation,selected_by_none,220,226168800,220,1,0.0199209457955,0.016455404,0.03739639,0.049654504,1028040,0,220,4.382608075
ocs-volume,admission,ocs_admitted,136,263880000,136,1,0.00565945014706,0.004833306,0.009043314,0.00924142,1940294.11765,136,0,0.76968522
ocs-volume,admission,selected_but_eps_fallback,0,0,0,0,,,,,0,0,0,0
ocs-volume,admission,selected_and_ocs_admitted,136,263880000,136,1,0.00565945014706,0.004833306,0.009043314,0.00924142,1940294.11765,136,0,0.76968522
ocs-volume,size_bucket,small,180,94800000,180,1,0.00691493157778,0.004315079,0.013947135,0.017332992,526666.666667,68,112,1.244687684
ocs-volume,size_bucket,large,200,429328800,200,1,0.02082903131,0.019274602,0.037801873,0.04982964,2146644,68,132,4.165806262
ocs-volume,time_bucket,before-first-schedule,20,11064000,20,1,0.00389619485,0.004213351,0.004315079,0.004942437,553200,0,20,0.077923897
ocs-volume,time_bucket,early-period,160,228028800,160,1,0.0122910888188,0.007390195,0.026741009,0.03634276,1425180,56,104,1.966574211
ocs-volume,time_bucket,late-period,200,285036000,200,1,0.01682997919,0.009673454,0.03494195,0.0417163,1425180,80,120,3.365995838
tl-ocs,edge_relation,common_tl_volume_edge,128,247440000,128,1,0.005768590625,0.004837063,0.009119158,0.009335374,1933125,128,0,0.7383796
tl-ocs,edge_relation,tl_only_edge,16,29040000,16,1,0.0047494136875,0.004130775,0.0083631,0.008429753,1815000,16,0,0.075990619
tl-ocs,edge_relation,volume_only_edge,8,16440000,8,1,0.0392626025,0.010108407,0.074898814,0.074898814,2055000,0,8,0.31410082
tl-ocs,edge_relation,fct_oracle_only_edge,8,5040000,8,1,0.004233675,0.004255617,0.004320784,0.004320784,630000,0,8,0.0338694
tl-ocs,edge_relation,selected_by_none,220,226168800,220,1,0.0220665388455,0.01938844,0.038373004,0.059648937,1028040,0,220,4.854638546
tl-ocs,admission,ocs_admitted,144,276480000,144,1,0.00565534874306,0.004836164,0.008998127,0.009194701,1920000,144,0,0.814370219
tl-ocs,admission,selected_but_eps_fallback,0,0,0,0,,,,,0,0,0,0
tl-ocs,admission,selected_and_ocs_admitted,144,276480000,144,1,0.00565534874306,0.004836164,0.008998127,0.009194701,1920000,144,0,0.814370219
tl-ocs,size_bucket,small,180,94800000,180,1,0.00747426806111,0.004262796,0.016407988,0.019951024,526666.666667,72,108,1.345368251
tl-ocs,size_bucket,large,200,429328800,200,1,0.02335805367,0.020411526,0.041662606,0.06535585,2146644,72,128,4.671610734
tl-ocs,time_bucket,before-first-schedule,20,11064000,20,1,0.00390905715,0.004133063,0.004320784,0.004996586,553200,0,20,0.078181143
tl-ocs,time_bucket,early-period,160,228028800,160,1,0.0144193958437,0.008283404,0.032163604,0.041662606,1425180,64,96,2.307103335
tl-ocs,time_bucket,late-period,200,285036000,200,1,0.018158472535,0.010872914,0.037864348,0.047560163,1425180,80,120,3.631694507
