experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.009203854,0.005103854,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.009076041,0.004956041,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.009354946,0.005214946,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.009202908,0.005042908,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.009499239,0.005319239,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008770371,0.004570371,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.012055285,0.007835285,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.007848247,0.003608247,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007534668,0.003274668,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007485534,0.003205534,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.009521765,0.005221765,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.009390628,0.005070628,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.009762959,0.005422959,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.009537535,0.005177535,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,14,2,0,3,0,eps,630000,630000,0.00438,0.009841462,0.005461462,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,15,6,0,7,0,eps,630000,630000,0.0044,0.009039434,0.004639434,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,16,3,0,4,0,eps,792000,792000,0.00442,0.012723288,0.008303288,true
phase15h-r4-cross-community-distractor-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,cross-community-distractor-replay,1401,17,0,0,4,0,eps,348000,348000,0.00444,0.008187958,0.003747958,true
