experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.00921478,0.00511478,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.008649246,0.004529246,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.008944704,0.004804704,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.009414396,0.005254396,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.00952888,0.00534888,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008905011,0.004705011,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.012364321,0.008144321,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.0079391,0.0036991,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007244281,0.002984281,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007540017,0.003260017,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.009521657,0.005221657,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.008917661,0.004597661,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.009251745,0.004911745,true
phase15h-r4-cross-community-distractor-replay-ocs-volume-seed1401-load0p7,ocs-volume,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.009701145,0.005341145,true
