experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.008362796,0.004262796,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.008140431,0.004020431,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.008414205,0.004274205,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.008443202,0.004283202,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.008313063,0.004133063,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008431141,0.004231141,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.009216586,0.004996586,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.007335684,0.003095684,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007215464,0.002955464,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007086251,0.002806251,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.008555617,0.004255617,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.008337426,0.004017426,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.008660784,0.004320784,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.0086517,0.0042917,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,14,2,0,3,0,eps,630000,630000,0.00438,0.008504557,0.004124557,true
phase15h-r4-cross-community-distractor-replay-tl-ocs-seed1401-load0p5,tl-ocs,cross-community-distractor-replay,1401,15,6,0,7,0,eps,630000,630000,0.0044,0.008667237,0.004267237,true
