experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,0,0,0,1,0,eps,570000,567088,0.0041,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,1,0,0,2,0,eps,570000,567088,0.00412,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,2,0,0,3,0,eps,570000,562800,0.00414,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,3,0,0,4,0,eps,570000,560120,0.00416,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,4,0,0,5,0,eps,570000,482936,0.00418,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,5,0,0,6,0,eps,570000,556904,0.0042,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,6,1,0,2,0,eps,528000,528000,0.00422,0.009108436,0.004888436,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,7,2,0,3,0,eps,528000,528000,0.00424,0.009935405,0.005695405,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,8,4,0,5,0,eps,528000,528000,0.00426,0.008560732,0.004300732,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,9,5,0,6,0,eps,528000,528000,0.00428,0.010561623,0.006281623,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,10,1,0,3,0,eps,432000,432000,0.0043,0.0094123,0.0051123,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,11,4,0,6,0,eps,432000,432000,0.00432,0.009945026,0.005625026,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,12,6,0,7,0,eps,240000,240000,0.00434,0.007120542,0.002780542,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,13,0,0,1,0,eps,570000,368232,0.00436,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,14,0,0,2,0,eps,570000,532784,0.00438,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,15,0,0,3,0,eps,570000,536536,0.0044,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,16,0,0,4,0,eps,570000,444344,0.00442,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,17,0,0,5,0,eps,570000,335536,0.00444,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,18,0,0,6,0,eps,570000,532248,0.00446,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,19,1,0,2,0,eps,528000,528000,0.00448,0.009524946,0.005044946,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,20,2,0,3,0,eps,528000,528000,0.0045,0.010365825,0.005865825,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,21,4,0,5,0,eps,528000,528000,0.00452,0.008953904,0.004433904,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,22,5,0,6,0,eps,528000,528000,0.00454,0.011225027,0.006685027,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,23,1,0,3,0,eps,432000,432000,0.00456,0.009879111,0.005319111,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,24,4,0,6,0,eps,432000,432000,0.00458,0.010455242,0.005875242,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,25,6,0,7,0,eps,240000,240000,0.0046,0.007488334,0.002888334,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,26,0,0,1,0,eps,570000,518312,0.00462,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,27,0,0,2,0,eps,570000,516704,0.00464,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,28,0,0,3,0,eps,570000,514024,0.00466,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,29,0,0,4,0,eps,570000,402536,0.00468,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,30,0,0,5,0,eps,570000,476504,0.0047,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,31,0,0,6,0,eps,570000,504376,0.00472,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,32,1,0,2,0,eps,528000,528000,0.00474,0.009865813,0.005125813,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,33,2,0,3,0,eps,528000,528000,0.00476,0.008292556,0.003532556,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,34,4,0,5,0,eps,528000,528000,0.00478,0.006981369,0.002201369,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,35,5,0,6,0,eps,528000,528000,0.0048,0.010186065,0.005386065,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,36,1,0,3,0,eps,432000,432000,0.00482,0.007733628,0.002913628,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,37,4,0,6,0,eps,432000,432000,0.00484,0.007759821,0.002919821,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,38,6,0,7,0,eps,240000,240000,0.00486,0.007713188,0.002853188,true
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,39,0,0,1,0,eps,798000,484008,0.0051,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,40,0,0,2,0,eps,798000,481864,0.00512,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,41,0,0,3,0,eps,1638000,210112,0.00514,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,42,0,0,4,0,eps,798000,479184,0.00516,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,43,0,0,5,0,eps,798000,479184,0.00518,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,44,0,0,6,0,eps,798000,477576,0.0052,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,45,1,0,2,0,eps,3744000,1908160,0.00522,,,false
phase15h-r4-high-degree-aggregator-bias-replay-eps-ecmp-seed1401-load0p7,eps-ecmp,high-degree-aggregator-bias-replay,1401,46,2,0,3,0,eps,2544000,1403784,0.00524,,,false
