experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,0,0,0,1,0,eps,570000,570000,0.0041,0.019730504,0.015630504,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,1,0,0,2,0,eps,570000,570000,0.00412,0.019939915,0.015819915,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,2,0,0,3,0,eps,570000,570000,0.00414,0.020117242,0.015977242,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,3,0,0,4,0,eps,570000,570000,0.00416,0.020097019,0.015937019,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,4,0,0,5,0,eps,570000,570000,0.00418,0.020228657,0.016048657,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,5,0,0,6,0,eps,570000,570000,0.0042,0.020418064,0.016218064,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,6,1,0,2,0,eps,528000,528000,0.00422,0.008018182,0.003798182,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,7,2,0,3,0,eps,528000,528000,0.00424,0.008241152,0.004001152,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,8,4,0,5,0,eps,528000,528000,0.00426,0.008030658,0.003770658,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,9,5,0,6,0,eps,528000,528000,0.00428,0.008436798,0.004156798,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,10,1,0,3,0,eps,432000,432000,0.0043,0.007878542,0.003578542,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,11,4,0,6,0,eps,432000,432000,0.00432,0.008196851,0.003876851,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,12,6,0,7,0,eps,240000,240000,0.00434,0.006750256,0.002410256,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,13,0,0,1,0,eps,570000,570000,0.00436,0.02690429,0.02254429,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,14,0,0,2,0,eps,570000,570000,0.00438,0.021648963,0.017268963,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,15,0,0,3,0,eps,570000,570000,0.0044,0.021798692,0.017398692,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,16,0,0,4,0,eps,570000,570000,0.00442,0.0217974,0.0173774,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,17,0,0,5,0,eps,570000,570000,0.00444,0.021986787,0.017546787,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,18,0,0,6,0,eps,570000,570000,0.00446,0.022156482,0.017696482,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,19,1,0,2,0,eps,528000,528000,0.00448,0.00833237,0.00385237,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,20,2,0,3,0,eps,528000,528000,0.0045,0.008542399,0.004042399,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,21,4,0,5,0,eps,528000,528000,0.00452,0.008329522,0.003809522,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,22,5,0,6,0,eps,528000,528000,0.00454,0.008743849,0.004203849,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,23,1,0,3,0,eps,432000,432000,0.00456,0.008229268,0.003669268,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,24,4,0,6,0,eps,432000,432000,0.00458,0.008576927,0.003996927,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,25,6,0,7,0,eps,240000,240000,0.0046,0.007078139,0.002478139,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,26,0,0,1,0,eps,798000,798000,0.0051,0.048642153,0.043542153,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,27,0,0,2,0,eps,798000,798000,0.00512,0.048920822,0.043800822,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,28,0,0,3,0,ocs,1638000,1638000,0.00514,0.009258279,0.004118279,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,29,0,0,4,0,eps,798000,706984,0.00516,,,false
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,30,0,0,5,0,eps,798000,786848,0.00518,,,false
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,31,0,0,6,0,eps,798000,798000,0.0052,0.049754576,0.044554576,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,32,1,0,2,0,ocs,3744000,3744000,0.00522,0.010853063,0.005633063,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,33,2,0,3,0,eps,2544000,2544000,0.00524,0.040652236,0.035412236,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,34,4,0,5,0,ocs,3744000,3744000,0.00526,0.010871166,0.005611166,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,35,5,0,6,0,eps,3744000,2018040,0.00528,,,false
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,36,1,0,3,0,eps,1728000,1728000,0.0053,0.021936956,0.016636956,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,37,4,0,6,0,eps,1728000,1728000,0.00532,0.036331673,0.031011673,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,38,6,0,7,0,ocs,2832000,2832000,0.00534,0.011851871,0.006511871,true
phase15h-r4-high-degree-aggregator-bias-replay-ocs-oracle-seed1401-load0p5,ocs-oracle,high-degree-aggregator-bias-replay,1401,39,0,0,1,0,eps,798000,789528,0.00536,,,false
