experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,0,0,0,1,0,eps,570000,570000,0.0041,0.019061866,0.014961866,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,1,0,0,2,0,eps,570000,570000,0.00412,0.019243685,0.015123685,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,2,0,0,3,0,eps,570000,570000,0.00414,0.019328091,0.015188091,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,3,0,0,4,0,eps,570000,570000,0.00416,0.019367692,0.015207692,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,4,0,0,5,0,eps,570000,570000,0.00418,0.019480901,0.015300901,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,5,0,0,6,0,eps,570000,570000,0.0042,0.019644172,0.015444172,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,6,1,0,2,0,eps,528000,528000,0.00422,0.008150756,0.003930756,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,7,2,0,3,0,eps,528000,528000,0.00424,0.008054736,0.003814736,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,8,4,0,5,0,eps,528000,528000,0.00426,0.008032317,0.003772317,true
phase15h-r4-high-degree-aggregator-bias-replay-tl-ocs-seed1401-load0p5,tl-ocs,high-degree-aggregator-bias-replay,1401,9,5,0,6,0,eps,528000,528000,0.00428,0.008502542,0.004222542,true
