experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.008408366,0.004308366,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.008164918,0.004044918,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.008458788,0.004318788,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.008466995,0.004306995,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.008386321,0.004206321,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008418062,0.004218062,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.009143694,0.004923694,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.007344354,0.003104354,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007211188,0.002951188,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007091942,0.002811942,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.008597129,0.004297129,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.00837986,0.00405986,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.008702653,0.004362653,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.008678908,0.004318908,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,14,2,0,3,0,eps,630000,630000,0.00438,0.008579669,0.004199669,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,15,6,0,7,0,eps,630000,630000,0.0044,0.008615009,0.004215009,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,16,3,0,4,0,eps,792000,792000,0.00442,0.009363969,0.004943969,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,17,0,0,4,0,eps,348000,348000,0.00444,0.007543872,0.003103872,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,18,1,0,5,0,eps,312000,312000,0.00446,0.007417034,0.002957034,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,19,2,0,6,0,eps,300000,300000,0.00448,0.007279251,0.002799251,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,20,0,0,1,0,eps,3480000,3275288,0.0051,,,false
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,21,1,0,2,0,eps,3480000,3294208,0.00512,,,false
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,22,4,0,5,0,eps,2520000,2520000,0.00514,0.029457987,0.024317987,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,23,5,0,6,0,eps,1386000,1386000,0.00516,0.013312484,0.008152484,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,24,2,0,3,0,eps,2520000,2520000,0.00518,0.030647029,0.025467029,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,25,6,0,7,0,eps,4320000,4320000,0.0052,0.029116284,0.023916284,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,26,3,0,4,0,eps,1425600,1425600,0.00522,0.015480727,0.010260727,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,27,0,0,4,0,eps,1392000,1392000,0.00524,0.015858425,0.010618425,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,28,1,0,5,0,eps,1248000,1248000,0.00526,0.013417991,0.008157991,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,29,2,0,6,0,eps,1200000,1200000,0.00528,0.013481177,0.008201177,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,30,0,0,1,0,eps,3480000,3188736,0.0053,,,false
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,31,1,0,2,0,eps,3480000,3121152,0.00532,,,false
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,32,4,0,5,0,eps,2520000,2520000,0.00534,0.03103246,0.02569246,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,33,5,0,6,0,eps,1386000,1386000,0.00536,0.013583234,0.008223234,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,34,2,0,3,0,eps,2520000,2520000,0.00538,0.032406209,0.027026209,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,35,6,0,7,0,eps,4320000,4320000,0.0054,0.030429232,0.025029232,true
phase15h-r5-cross-community-distractor-replay-eps-ecmp-seed1401-load0p5-D0,eps-ecmp,cross-community-distractor-replay,1401,36,3,0,4,0,eps,1425600,1425600,0.00542,0.016237067,0.010817067,true
