experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.008347449,0.004247449,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.008091822,0.003971822,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.008433649,0.004293649,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.008417703,0.004257703,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.008411802,0.004231802,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008378754,0.004178754,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.009162437,0.004942437,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.007339959,0.003099959,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007167235,0.002907235,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007081986,0.002801986,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.008531408,0.004231408,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.008305084,0.003985084,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.008655079,0.004315079,true
phase15h-r5-cross-community-distractor-replay-ocs-volume-seed1401-load0p5-D3,ocs-volume,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.008606556,0.004246556,true
