experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,0,0,0,1,0,eps,630000,630000,0.0041,0.008378793,0.004278793,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,1,1,0,2,0,eps,630000,630000,0.00412,0.008143559,0.004023559,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,2,4,0,5,0,eps,630000,630000,0.00414,0.008486265,0.004346265,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,3,5,0,6,0,eps,630000,630000,0.00416,0.008534012,0.004374012,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,4,2,0,3,0,eps,630000,630000,0.00418,0.008319752,0.004139752,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,5,6,0,7,0,eps,630000,630000,0.0042,0.008464383,0.004264383,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,6,3,0,4,0,eps,792000,792000,0.00422,0.009175816,0.004955816,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,7,0,0,4,0,eps,348000,348000,0.00424,0.007333872,0.003093872,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,8,1,0,5,0,eps,312000,312000,0.00426,0.007231645,0.002971645,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,9,2,0,6,0,eps,300000,300000,0.00428,0.007097365,0.002817365,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,10,0,0,1,0,eps,630000,630000,0.0043,0.008554941,0.004254941,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,11,1,0,2,0,eps,630000,630000,0.00432,0.008345432,0.004025432,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,12,4,0,5,0,eps,630000,630000,0.00434,0.00875005,0.00441005,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,13,5,0,6,0,eps,630000,630000,0.00436,0.008748977,0.004388977,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,14,2,0,3,0,eps,630000,630000,0.00438,0.008507291,0.004127291,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,15,6,0,7,0,eps,630000,630000,0.0044,0.008685328,0.004285328,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,16,3,0,4,0,eps,792000,792000,0.00442,0.009392057,0.004972057,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,17,0,0,4,0,eps,348000,348000,0.00444,0.007519229,0.003079229,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,18,1,0,5,0,eps,312000,312000,0.00446,0.007426042,0.002966042,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,19,2,0,6,0,eps,300000,300000,0.00448,0.007296065,0.002816065,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,20,0,0,1,0,ocs,3480000,3480000,0.0051,0.011485034,0.006385034,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,21,1,0,2,0,eps,3480000,3480000,0.00512,0.067997856,0.062877856,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,22,4,0,5,0,eps,2520000,2520000,0.00514,0.02880621,0.02366621,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,23,5,0,6,0,eps,1386000,1386000,0.00516,0.014056732,0.008896732,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,24,2,0,3,0,ocs,2520000,2520000,0.00518,0.010019209,0.004839209,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,25,6,0,7,0,eps,4320000,4320000,0.0052,0.029689582,0.024489582,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,26,3,0,4,0,eps,1425600,1425600,0.00522,0.016453176,0.011233176,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,27,0,0,4,0,eps,1392000,1392000,0.00524,0.016142207,0.010902207,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,28,1,0,5,0,eps,1248000,1248000,0.00526,0.014639669,0.009379669,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,29,2,0,6,0,eps,1200000,1200000,0.00528,0.013208842,0.007928842,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,30,0,0,1,0,ocs,3480000,3480000,0.0053,0.011751389,0.006451389,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,31,1,0,2,0,eps,3480000,3480000,0.00532,0.069585193,0.064265193,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,32,4,0,5,0,eps,2520000,2520000,0.00534,0.030589634,0.025249634,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,33,5,0,6,0,eps,1386000,1386000,0.00536,0.014222731,0.008862731,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,34,2,0,3,0,ocs,2520000,2520000,0.00538,0.010226266,0.004846266,true
phase15h-r6-cross-community-distractor-replay-fixed-ocs-seed1401-load0p5-D3-cand0029,fixed-ocs,cross-community-distractor-replay,1401,35,6,0,7,0,eps,4320000,4320000,0.0054,0.031206696,0.025806696,true
