experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-electrical-only,electrical-only,community-local,1,0,50000,0.001,0.00179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,1,50000,0.0015,0.00229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,2,50000,0.002,0.00279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,3,50000,0.0025,0.00329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,4,50000,0.003,0.00379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,5,50000,0.0035,0.00429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,6,50000,0.004,0.00479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,7,50000,0.0045,0.00529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,8,50000,0.005,0.00579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,9,50000,0.0055,0.00629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,10,50000,0.006,0.00679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,11,50000,0.0065,0.00729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,12,50000,0.007,0.00779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,13,50000,0.0075,0.00829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,14,50000,0.008,0.00879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,15,50000,0.0085,0.00929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,16,50000,0.009,0.00979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,17,50000,0.0095,0.01029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,18,50000,0.01,0.01079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,19,50000,0.0105,0.01129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,20,50000,0.011,0.01179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,21,50000,0.0115,0.01229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,22,50000,0.012,0.01279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,23,50000,0.0125,0.01329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,24,50000,0.013,0.01379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,25,50000,0.0135,0.01429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,26,50000,0.014,0.01479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,27,50000,0.0145,0.01529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,28,50000,0.015,0.01579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,29,50000,0.0155,0.01629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,30,50000,0.016,0.01679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,31,50000,0.0165,0.01729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,32,50000,0.017,0.01779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,33,50000,0.0175,0.01829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,34,50000,0.018,0.01879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,35,50000,0.0185,0.01929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,36,50000,0.019,0.01979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,37,50000,0.0195,0.02029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,38,50000,0.02,0.02079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,39,50000,0.0205,0.02129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,40,50000,0.021,0.02179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,41,50000,0.0215,0.02229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,42,50000,0.022,0.02279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,43,50000,0.0225,0.02329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,44,50000,0.023,0.02379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,45,50000,0.0235,0.02429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,46,50000,0.024,0.02479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,47,50000,0.0245,0.02529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,48,50000,0.025,0.02579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,49,50000,0.0255,0.02629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,50,50000,0.026,0.02679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,51,50000,0.0265,0.02729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,52,50000,0.027,0.02779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,53,50000,0.0275,0.02829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,54,50000,0.028,0.02879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,55,50000,0.0285,0.02929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,56,50000,0.029,0.02979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,57,50000,0.0295,0.03029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,58,50000,0.03,0.03079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,59,50000,0.0305,0.03129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,60,50000,0.031,0.03179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,61,50000,0.0315,0.03229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,62,50000,0.032,0.03279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,63,50000,0.0325,0.03329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,64,50000,0.033,0.03379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,65,50000,0.0335,0.03429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,66,50000,0.034,0.03479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,67,50000,0.0345,0.03529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,68,50000,0.035,0.03579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,69,50000,0.0355,0.03629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,70,50000,0.036,0.03679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,71,50000,0.0365,0.03729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,72,50000,0.037,0.03779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,73,50000,0.0375,0.03829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,74,50000,0.038,0.03879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,75,50000,0.0385,0.03929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,76,50000,0.039,0.03979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,77,50000,0.0395,0.04029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,78,50000,0.04,0.04079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,79,50000,0.0405,0.04129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,80,50000,0.041,0.04179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,81,50000,0.0415,0.04229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,82,50000,0.042,0.04279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,83,50000,0.0425,0.04329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,84,50000,0.043,0.04379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,85,50000,0.0435,0.04429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,86,50000,0.044,0.04479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,87,50000,0.0445,0.04529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,88,50000,0.045,0.04579608,0.00079608,true
