experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-static-ocs,static-ocs,community-local,1,0,50000,0.02,0.020549502,0.000549502,true
v2-main-static-ocs,static-ocs,community-local,1,1,50000,0.02,0.020549502,0.000549502,true
v2-main-static-ocs,static-ocs,community-local,1,2,50000,0.02,0.020549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,4,50000,0.02,0.020549502,0.000549502,true
v2-main-static-ocs,static-ocs,community-local,1,5,50000,0.02,0.020549502,0.000549502,true
v2-main-static-ocs,static-ocs,community-local,1,6,50000,0.02,0.020549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,8,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,9,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,10,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,12,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,13,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,14,50000,0.02,0.020549108,0.000549108,true
v2-main-static-ocs,static-ocs,community-local,1,16,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,17,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,18,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,20,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,21,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,22,50000,0.02,0.020558029,0.000558029,true
v2-main-static-ocs,static-ocs,community-local,1,24,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,25,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,26,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,28,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,29,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,30,50000,0.02,0.020558076,0.000558076,true
v2-main-static-ocs,static-ocs,community-local,1,32,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,33,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,34,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,36,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,37,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,38,50000,0.02,0.020566997,0.000566997,true
v2-main-static-ocs,static-ocs,community-local,1,40,50000,0.021,0.021549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,41,50000,0.0215,0.022049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,42,50000,0.022,0.022549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,44,50000,0.023,0.023549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,45,50000,0.0235,0.024049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,46,50000,0.024,0.024549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,48,50000,0.025,0.025549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,49,50000,0.0255,0.026049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,50,50000,0.026,0.026549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,52,50000,0.027,0.027549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,53,50000,0.0275,0.028049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,54,50000,0.028,0.028549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,56,50000,0.029,0.029549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,57,50000,0.0295,0.030049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,58,50000,0.03,0.030549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,60,50000,0.031,0.031549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,61,50000,0.0315,0.032049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,62,50000,0.032,0.032549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,64,50000,0.033,0.033549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,65,50000,0.0335,0.034049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,66,50000,0.034,0.034549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,68,50000,0.035,0.035549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,69,50000,0.0355,0.036049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,70,50000,0.036,0.036549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,72,50000,0.037,0.037549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,73,50000,0.0375,0.038049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,74,50000,0.038,0.038549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,76,50000,0.039,0.039549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,77,50000,0.0395,0.040049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,78,50000,0.04,0.040549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,80,50000,0.041,0.041549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,81,50000,0.0415,0.042049061,0.000549061,true
