schema_version,experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,0,0,0,1,1,optical-direct,781250,781250,0.001,0.004219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,1,1,1,2,2,optical-direct,781250,781250,0.0015,0.004719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,2,2,2,3,3,optical-direct,781250,781250,0.002,0.005219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,3,3,3,0,4,optical-direct,781250,781250,0.0025,0.005719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,4,4,4,5,5,optical-direct,781250,781250,0.003,0.006219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,5,5,5,6,6,optical-direct,781250,781250,0.0035,0.006719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,6,6,6,7,7,optical-direct,781250,781250,0.004,0.007219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,7,7,7,4,8,optical-direct,781250,781250,0.0045,0.007719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,8,0,8,1,9,optical-direct,781250,781250,0.005,0.008219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,9,1,9,2,10,optical-direct,781250,781250,0.0055,0.008719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,10,2,10,3,11,optical-direct,781250,781250,0.006,0.009219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,11,3,11,0,12,optical-direct,781250,781250,0.0065,0.009719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,12,4,12,5,13,optical-direct,781250,781250,0.007,0.010219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,13,5,13,6,14,optical-direct,781250,781250,0.0075,0.010719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,14,6,14,7,15,optical-direct,781250,781250,0.008,0.011219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,15,7,15,4,0,optical-direct,781250,781250,0.0085,0.011719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,16,0,0,1,1,optical-direct,781250,781250,0.009,0.012219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,17,1,1,2,2,optical-direct,781250,781250,0.0095,0.012719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,18,2,2,3,3,optical-direct,781250,781250,0.01,0.013219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,19,3,3,0,4,optical-direct,781250,781250,0.0105,0.013719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,20,4,4,5,5,optical-direct,781250,781250,0.011,0.014219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,21,5,5,6,6,optical-direct,781250,781250,0.0115,0.014719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,22,6,6,7,7,optical-direct,781250,781250,0.012,0.015219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,23,7,7,4,8,optical-direct,781250,781250,0.0125,0.015719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,24,0,8,1,9,optical-direct,781250,781250,0.013,0.016219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,25,1,9,2,10,optical-direct,781250,781250,0.0135,0.016719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,26,2,10,3,11,optical-direct,781250,781250,0.014,0.017219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,27,3,11,0,12,optical-direct,781250,781250,0.0145,0.017719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,28,4,12,5,13,optical-direct,781250,781250,0.015,0.018219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,29,5,13,6,14,optical-direct,781250,781250,0.0155,0.018719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,30,6,14,7,15,optical-direct,781250,781250,0.016,0.019219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,31,7,15,4,0,optical-direct,781250,781250,0.0165,0.019719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,32,0,0,1,1,optical-direct,781250,781250,0.017,0.020219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,33,1,1,2,2,optical-direct,781250,781250,0.0175,0.020719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,34,2,2,3,3,optical-direct,781250,781250,0.018,0.021219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,35,3,3,0,4,optical-direct,781250,781250,0.0185,0.021719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,36,4,4,5,5,optical-direct,781250,781250,0.019,0.022219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,37,5,5,6,6,optical-direct,781250,781250,0.0195,0.022719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,38,6,6,7,7,optical-direct,781250,781250,0.02,0.025953783,0.005953783,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,39,7,7,4,8,optical-direct,781250,781250,0.0205,0.025940126,0.005440126,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,40,0,8,1,9,optical-direct,781250,781250,0.021,0.025975433,0.004975433,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,41,1,9,2,10,optical-direct,781250,781250,0.0215,0.025965552,0.004465552,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,42,2,10,3,11,optical-direct,781250,781250,0.022,0.025953783,0.003953783,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,43,3,11,0,12,optical-direct,781250,781250,0.0225,0.025940126,0.003440126,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,44,4,12,5,13,optical-direct,781250,781250,0.023,0.026219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,45,5,13,6,14,optical-direct,781250,781250,0.0235,0.026719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,46,6,14,7,15,optical-direct,781250,781250,0.024,0.027219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,47,7,15,4,0,optical-direct,781250,781250,0.0245,0.027719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,48,0,0,1,1,optical-direct,781250,781250,0.025,0.028219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,49,1,1,2,2,optical-direct,781250,781250,0.0255,0.028719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,50,2,2,3,3,optical-direct,781250,781250,0.026,0.029219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,51,3,3,0,4,optical-direct,781250,781250,0.0265,0.029719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,52,4,4,5,5,optical-direct,781250,781250,0.027,0.030219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,53,5,5,6,6,optical-direct,781250,781250,0.0275,0.030719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,54,6,6,7,7,optical-direct,781250,781250,0.028,0.031219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,55,7,7,4,8,optical-direct,781250,781250,0.0285,0.031719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,56,0,8,1,9,optical-direct,781250,781250,0.029,0.032219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,57,1,9,2,10,optical-direct,781250,781250,0.0295,0.032719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,58,2,10,3,11,optical-direct,781250,781250,0.03,0.033219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,59,3,11,0,12,optical-direct,781250,781250,0.0305,0.033719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,60,4,12,5,13,optical-direct,781250,781250,0.031,0.034219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,61,5,13,6,14,optical-direct,781250,781250,0.0315,0.034719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,62,6,14,7,15,optical-direct,781250,781250,0.032,0.035219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,63,7,15,4,0,optical-direct,781250,781250,0.0325,0.035719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,64,0,0,1,1,optical-direct,781250,781250,0.033,0.036219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,65,1,1,2,2,optical-direct,781250,781250,0.0335,0.036719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,66,2,2,3,3,optical-direct,781250,781250,0.034,0.037219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,67,3,3,0,4,optical-direct,781250,781250,0.0345,0.037719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,68,4,4,5,5,optical-direct,781250,781250,0.035,0.038219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,69,5,5,6,6,optical-direct,781250,781250,0.0355,0.038719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,70,6,6,7,7,optical-direct,781250,781250,0.036,0.039219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,71,7,7,4,8,optical-direct,781250,781250,0.0365,0.039719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,72,0,8,1,9,optical-direct,781250,781250,0.037,0.040219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,73,1,9,2,10,optical-direct,781250,781250,0.0375,0.040719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,74,2,10,3,11,optical-direct,781250,781250,0.038,0.041219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,75,3,11,0,12,optical-direct,781250,781250,0.0385,0.041719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,76,4,12,5,13,optical-direct,781250,781250,0.039,0.042219563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,77,5,13,6,14,optical-direct,781250,781250,0.0395,0.042719563,0.003219563,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,78,6,14,7,15,optical-direct,781250,781250,0.04,0.045953783,0.005953783,true
tl-hoc-v3,v2-main-tl-hoc-rho002,tl-hoc,community-local,1,79,7,15,4,0,optical-direct,781250,781250,0.0405,0.045940126,0.005440126,true
