schema_version,experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,0,1,0,0,1,eps,20000,20000,0.001,0.00330368,0.00230368,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,1,3,1,2,2,eps,20000,20000,0.002957573,0.005261253,0.00230368,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,2,1,2,0,3,eps,20000,20000,0.003856398,0.006540558,0.00268416,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,3,0,3,1,4,eps,20000,20000,0.003902101,0.006341838,0.002439737,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,4,0,4,1,5,eps,20000,20000,0.00621847,0.008591499,0.002373029,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,5,2,5,0,6,eps,20000,20000,0.006308238,0.009885579,0.003577341,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,6,3,6,2,7,eps,20000,20000,0.006476619,0.011386219,0.0049096,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,7,2,7,3,8,eps,20000,20000,0.006640245,0.010719179,0.004078934,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,8,1,8,0,9,eps,20000,20000,0.007009542,0.009574859,0.002565317,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,9,0,9,1,10,eps,20000,20000,0.00792344,0.010681419,0.002757979,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,10,3,10,2,11,eps,20000,20000,0.008547714,0.014026859,0.005479145,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,11,2,11,3,12,eps,20000,20000,0.008672987,0.014156459,0.005483472,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,12,3,12,2,13,eps,20000,20000,0.008920817,0.014855979,0.005935162,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,13,3,13,2,14,eps,20000,20000,0.009116151,0.015560779,0.006444628,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,14,1,14,0,15,eps,20000,20000,0.00920309,0.011996939,0.002793849,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,15,2,15,1,0,eps,20000,20000,0.009457909,0.011830219,0.00237231,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,16,3,0,0,1,eps,20000,20000,0.010275564,0.013579404,0.00330384,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,17,1,1,0,2,eps,20000,20000,0.010479238,0.014356684,0.003877446,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,18,3,2,2,3,eps,20000,20000,0.01066702,0.019335179,0.008668159,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,19,2,3,3,4,eps,20000,20000,0.011600012,0.018339979,0.006739967,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,20,3,4,2,5,eps,20000,20000,0.012102289,0.020169579,0.00806729,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,21,0,5,1,6,eps,20000,20000,0.012521848,0.016053164,0.003531316,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,22,1,6,0,7,eps,20000,20000,0.013062955,0.016772204,0.003709249,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,23,3,7,2,8,eps,20000,20000,0.013095419,0.021403179,0.00830776,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,24,0,8,1,9,eps,20000,20000,0.013338795,0.016785164,0.003446369,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,25,2,9,3,10,eps,20000,20000,0.014006338,0.020428459,0.006422121,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,26,2,10,3,11,eps,20000,20000,0.014595321,0.020811819,0.006216498,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,27,1,11,0,12,eps,20000,20000,0.015185196,0.023710604,0.008525408,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,28,0,12,1,13,eps,20000,20000,0.015291495,0.023430284,0.008138789,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,29,1,13,0,14,eps,20000,20000,0.015311852,0.024065324,0.008753472,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,30,1,14,0,15,eps,20000,20000,0.01568194,0.025341804,0.009659864,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,31,0,15,1,0,eps,20000,20000,0.015981641,0.025711084,0.009729443,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,32,0,0,1,1,eps,20000,20000,0.01635287,0.025581004,0.009228134,true
tl-hoc-v7,v7-community-main-electrical-only-rho0p3-seed1,electrical-only,community-local,1,33,3,1,0,2,eps,20000,20000,0.016529759,0.019559199,0.00302944,true
