schema_version,experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,0,1,0,0,1,optical-direct,20000,20000,0.001,0.00315632,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,1,3,1,2,2,optical-direct,20000,20000,0.002957573,0.005113893,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,2,1,2,0,3,optical-direct,20000,20000,0.003856398,0.006248301,0.002391903,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,3,0,3,1,4,optical-direct,20000,20000,0.003902101,0.006101621,0.00219952,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,4,0,4,1,5,optical-direct,20000,20000,0.00621847,0.00837479,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,5,2,5,0,6,optical-direct,20000,20000,0.006308238,0.008464558,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,6,3,6,2,7,optical-direct,20000,20000,0.006476619,0.008986445,0.002509826,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,7,2,7,3,8,optical-direct,20000,20000,0.006640245,0.008844405,0.00220416,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,8,1,8,0,9,optical-direct,20000,20000,0.007009542,0.00925547,0.002245928,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,9,0,9,1,10,optical-direct,20000,20000,0.00792344,0.01025595,0.00233251,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,10,3,10,2,11,optical-direct,20000,20000,0.008547714,0.010984965,0.002437251,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,11,2,11,3,12,optical-direct,20000,20000,0.008672987,0.01255702,0.003884033,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,12,3,12,2,13,optical-direct,20000,20000,0.008920817,0.01269402,0.003773203,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,13,3,13,2,14,optical-direct,20000,20000,0.009116151,0.01297722,0.003861069,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,14,1,14,0,15,optical-direct,20000,20000,0.00920309,0.011372958,0.002169868,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,15,2,15,1,0,optical-direct,20000,20000,0.009457909,0.011614229,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,16,3,0,0,1,optical-direct,20000,20000,0.010275564,0.012431884,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,17,1,1,0,2,optical-direct,20000,20000,0.010479238,0.012635558,0.00215632,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,18,3,2,2,3,optical-direct,20000,20000,0.01066702,0.01286506,0.00219804,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,19,2,3,3,4,optical-direct,20000,20000,0.011600012,0.01425338,0.002653368,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,20,3,4,2,5,optical-direct,20000,20000,0.012102289,0.01513678,0.003034491,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,21,0,5,1,6,optical-direct,20000,20000,0.012521848,0.014776568,0.00225472,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,22,1,6,0,7,optical-direct,20000,20000,0.013062955,0.015399448,0.002336493,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,23,3,7,2,8,optical-direct,20000,20000,0.013095419,0.016331258,0.003235839,true
tl-hoc-v7,v7-community-main-static-ocs-rho0p3-seed1,static-ocs,community-local,1,24,0,8,1,9,optical-direct,20000,20000,0.013338795,0.015510288,0.002171493,true
