matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,traffic-fair,0.1,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,16,12544000,12544000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00167843,2.02734,0.0689297,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__traffic-fair__load-0.1__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,traffic-fair,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,24,25088000,25088000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00308218,3.87087,0.131041,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__traffic-fair__load-0.2__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,traffic-fair,0.4,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,41,50176000,50176000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00742725,7.0443,0.238764,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__traffic-fair__load-0.4__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,traffic-fair,0.6,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,59,75264000,75264000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.0156135,8.38334,0.290092,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__traffic-fair__load-0.6__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,traffic-fair,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,77,100352000,100352000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.0246454,8.41153,0.299324,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__traffic-fair__load-0.8__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,v8-shortest,0.1,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,16,12544000,12544000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00167843,2.02734,0.0689297,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__v8-shortest__load-0.1__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,v8-shortest,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,24,25088000,25088000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00308218,3.87087,0.131041,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__v8-shortest__load-0.2__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,v8-shortest,0.4,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,43,50176000,50176000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.00742725,7.0443,0.238764,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__v8-shortest__load-0.4__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,v8-shortest,0.6,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,60,75264000,75264000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.0156135,8.38334,0.290092,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__v8-shortest__load-0.6__seed-1.log,false,
observe-test,ai-neighbor-skew,ai-neighbor-skew,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,v8-shortest,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,78,100352000,100352000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,256,256,384,2.28571,4,896,896,0,1,true,0.0246454,8.41153,0.299324,results/smtra/ai-neighbor-skew-v8-shortest/ai-neighbor-skew__none__v8-shortest__load-0.8__seed-1.log,false,
