matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,topRawPairs,topSPairs,topPsiPairs,rawPsiTopKOverlap,rawSTopKOverlap,activeOcsEdges,trafficFairEdges,trafficFairSelectionOrder,v8Edges,edgeOverlapWithTopRaw,edgeOverlapWithTopPsi,carrierPositivePairCount,carrierReachablePairCount,carrierUnreachableBytes,carrierUnreachablePairs,carrierWeightedByteHop,carrierWeightedAvgHop,carrierMaxHop,carrierGraphDiameter,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.1,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,16,5017600,5017600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,28,28,0,0,10154700,2.02381,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.00134501,0.8192,0.0385278,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__traffic-fair__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.2,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,15,10035200,10035200,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,28,28,0,0,20309300,2.02381,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.00214503,1.61482,0.0744142,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__traffic-fair__load-0.2__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.4,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,23,20070400,20070400,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,28,28,0,0,40618700,2.02381,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.0081666,2.76859,0.127397,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__traffic-fair__load-0.4__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.6,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,31,30105600,30105600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,4,3,28,28,0,0,60928000,2.02381,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.0198482,3.35214,0.153872,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__traffic-fair__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.8,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,39,40140800,40140800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,28,28,0,0,81237300,2.02381,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.0333294,3.75128,0.170124,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__traffic-fair__load-0.8__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-carrier,0.1,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,12,5017600,5017600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,28,28,0,0,10789300,2.15029,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.00127385,0.8192,0.0400762,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__v8-carrier__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-carrier,0.2,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,15,10035200,10035200,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,28,28,0,0,21578600,2.15029,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.00205002,1.62062,0.0776749,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__v8-carrier__load-0.2__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-carrier,0.4,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,24,20070400,20070400,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,28,28,0,0,43157300,2.1503,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.00874998,2.73585,0.127819,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__v8-carrier__load-0.4__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-carrier,0.6,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,33,30105600,30105600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,28,28,0,0,64736000,2.1503,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.0198029,3.36069,0.15306,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__v8-carrier__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-carrier,0.8,0.2,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,40,40140800,40140800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,28,28,0,0,86314600,2.1503,4,4,256,256,384,2.28571,4,896,896,0,1,true,0.0318774,3.88669,0.171897,results/smtra/ai-structural-decoy-carrier-aware/ai-structural-decoy__none__v8-carrier__load-0.8__seed-1.log,false,
