matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,topRawPairs,topSPairs,topPsiPairs,rawPsiTopKOverlap,rawSTopKOverlap,activeOcsEdges,trafficFairEdges,trafficFairSelectionOrder,v8Edges,edgeOverlapWithTopRaw,edgeOverlapWithTopPsi,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.1,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,18,12544000,12544000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,256,256,384,2.28571,4,896,896,0,1,true,0.00312516,1.97864,0.0908288,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__traffic-fair__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,28,25088000,25088000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,256,256,384,2.28571,4,896,896,0,1,true,0.0134273,3.12912,0.14318,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__traffic-fair__load-0.2__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.4,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,47,50176000,50176000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,256,256,384,2.28571,4,896,896,0,1,true,0.0469886,4.11553,0.184099,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__traffic-fair__load-0.4__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.6,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,65,75264000,75264000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,4,3,256,256,384,2.28571,4,896,748,148,0.834821,false,NaN,4.94773,0.213252,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__traffic-fair__load-0.6__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,77,100352000,100352000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,256,256,384,2.28571,4,896,640,256,0.714286,false,NaN,5.66619,0.236356,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__traffic-fair__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.1,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,20,12544000,12544000,0,896,896,0,1,true,ocs-shortest-direct:224|ocs-shortest-multihop:672,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|4-5|6-7,3,6,224,192,480,3,7,896,896,0,1,true,0.010424,1.66783,0.0872623,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__v8-shortest__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.2,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,30,25088000,25088000,0,896,896,0,1,true,ocs-shortest-direct:224|ocs-shortest-multihop:672,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|4-5|6-7,3,6,224,192,480,3,7,896,895,1,0.998884,false,NaN,2.51254,0.122104,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__v8-shortest__load-0.2__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.4,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,45,50176000,50176000,0,896,896,0,1,true,ocs-shortest-direct:224|ocs-shortest-multihop:672,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|4-5|6-7,3,6,224,192,480,3,7,896,720,176,0.803571,false,NaN,3.64338,0.160447,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__v8-shortest__load-0.4__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.6,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,55,75264000,75264000,0,896,896,0,1,true,ocs-shortest-direct:224|ocs-shortest-multihop:672,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|4-5|6-7,3,6,224,192,480,3,7,896,653,243,0.728795,false,NaN,4.60493,0.191398,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__v8-shortest__load-0.6__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.8,0.5,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,61,100352000,100352000,0,896,896,0,1,true,ocs-shortest-direct:224|ocs-shortest-multihop:672,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|4-5|6-7,3,6,224,192,480,3,7,896,502,394,0.560268,false,NaN,5.4825,0.218546,results/smtra/ai-structural-decoy-strict-fair/ai-structural-decoy__none__v8-shortest__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
