matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,topRawPairs,topSPairs,topPsiPairs,rawPsiTopKOverlap,rawSTopKOverlap,activeOcsEdges,trafficFairEdges,trafficFairSelectionOrder,v8Edges,edgeOverlapWithTopRaw,edgeOverlapWithTopPsi,opticalConnectionCount,podPortUseMean,podPortUseMax,podPortUseMin,topKCoveredPairCount,topCoverage,smdTop,directStructuralWeightRatio,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,opticalDirectFlows,nonOpticalFlows,opticalDirectRatio,nonOpticalTrafficRatio,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,p90FctSeconds,p95FctSeconds,throughputGbps,avgLinkUtilization,ocsLinkUtilization,electricalLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,new-v8-shortest,0.5,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,48,43904000,43904000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548828,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0363792,0.110856,0.130764,3.95427,0.173413,0.525653,0.162406,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__new-v8-shortest__load-0.5__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,new-v8-shortest,0.6,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,54,52684800,52684800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0472916,0.141788,0.164944,4.36031,0.187175,0.56025,0.175516,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__new-v8-shortest__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,new-v8-shortest,0.7,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,61,61465600,61465600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0581279,0.171649,0.194831,4.72387,0.19908,0.58913,0.186891,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__new-v8-shortest__load-0.7__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,new-v8-shortest,0.8,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,69,70246400,70246400,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0691835,0.200815,0.229657,5.07907,0.210951,0.619676,0.198178,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__new-v8-shortest__load-0.8__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.5,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,47,43904000,43904000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.429695,0.844679,0.429695,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0371254,0.101441,0.117867,3.84732,0.174237,0.531898,0.16306,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__traffic-fair__load-0.5__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.6,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,52,52684800,52684800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.429696,0.844678,0.429696,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.049089,0.128249,0.147395,4.15986,0.185765,0.563843,0.17395,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__traffic-fair__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.7,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,59,61465600,61465600,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.429695,0.844679,0.429695,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0613387,0.154638,0.176957,4.44261,0.196349,0.593102,0.18395,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__traffic-fair__load-0.7__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,traffic-fair,0.8,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,66,70246400,70246400,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,,3,3,8,2,2,2,3,0.429696,0.844678,0.429696,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0734502,0.182708,0.208596,4.7239,0.205737,0.617236,0.192878,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__traffic-fair__load-0.8__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.5,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,45,43904000,43904000,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548828,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0363792,0.110856,0.130764,3.95427,0.173413,0.525653,0.162406,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__v8-shortest__load-0.5__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,v8-shortest,0.6,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,53,52684800,52684800,0,896,896,0,1,true,ocs-shortest-direct:256|ocs-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577626,0.548829,0.577626,256,256,384,256,0,0.285714,0,2.28571,4,896,896,0,1,true,0.0472916,0.141788,0.164944,4.36031,0.187175,0.56025,0.175516,results/smtra/ai-structural-decoy-three-strategies/ai-structural-decoy__none__v8-shortest__load-0.6__seed-1.log,false,
