offeredLoad,strategy,avgReceiverThroughputGbps,avgFctSeconds,avgLinkUtilization
0.1,e-only,1.56478,0.00216933,0.0614398
0.1,strong-topk-background-shortest,1.58777,0.00153661,0.0760941
0.1,traffic-fair,1.5872,0.00160437,0.0731439
0.2,e-only,2.25018,0.0144353,0.0896758
0.2,strong-topk-background-shortest,2.70221,0.00734005,0.127113
0.2,traffic-fair,2.72691,0.00733634,0.125446
0.3,e-only,2.61341,0.0304813,0.104259
0.3,strong-topk-background-shortest,3.28557,0.0182972,0.150185
0.3,traffic-fair,3.30253,0.018671,0.151719
0.4,e-only,2.86931,0.0497228,0.113218
0.4,strong-topk-background-shortest,3.8092,0.0301551,0.168782
0.4,traffic-fair,3.72386,0.0319755,0.169001
0.5,e-only,3.06049,0.0646951,0.119072
0.5,strong-topk-background-shortest,4.2673,0.0422575,0.184733
0.5,traffic-fair,4.06784,0.0457619,0.182564
0.6,e-only,3.21899,0.0835584,0.123573
0.6,strong-topk-background-shortest,4.69274,0.0547236,0.198838
0.6,traffic-fair,4.40452,0.0597154,0.194975
0.7,e-only,3.36255,0.0996127,0.127271
0.7,strong-topk-background-shortest,5.12218,0.0664604,0.212414
0.7,traffic-fair,4.7239,0.0734502,0.205737
0.8,e-only,3.49328,0.118114,0.130644
0.8,strong-topk-background-shortest,5.49661,0.0787416,0.22472
0.8,traffic-fair,5.02925,0.0873003,0.215843
0.9,e-only,3.61064,0.133981,0.133594
0.9,strong-topk-background-shortest,5.86466,0.0906612,0.236288
0.9,traffic-fair,5.28363,0.102004,0.224275
