strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,runtimeSeconds,generatedFlows,installableFlows,unservedFlows,installRatio,installedFlows,completedFlows,incompleteFlows,incompleteFlowDetails,completionRatio,fullyCompleted,avgFctSeconds,p90FctSeconds,p95FctSeconds,throughputGbps,avgLinkUtilization,activeOcsEdges,avgPathHopCount,backgroundFlowMismatchMean,backgroundWeight,changedBackgroundPathFlowCount,changedPathFlowCount,changedPathFlowRatio,changedStrongPathFlowCount,communityRotationPattern,crossStageWeight,directStructuralWeightRatio,edgeFlowImbalanceDeltaVsShortest,edgeOverlapWithTopPsi,edgeOverlapWithTopRaw,electricalLinkUtilization,equalShortestPathCountMax,equalShortestPathCountMean,equalShortestPathPairCount,flowsWithMultipleShortestPaths,flowsWithMultipleShortestPathsRatio,matrixAbsDiffBytes,matrixMode,maxPathHopCount,multiHopPathFlows,neighborWeight,nonOpticalFlows,nonOpticalTrafficRatio,observeBytes,observeMixA,observeMixAWeight,observeMixB,observeTrafficModel,ocsCoverageOk,ocsEdgeBackgroundFlowCountMax,ocsEdgeBackgroundFlowCountMean,ocsEdgeFlowCountMax,ocsEdgeFlowCountMean,ocsEdgeFlowCountP95,ocsEdgeFlowCountStd,ocsEdgeStrongFlowCountMax,ocsEdgeStrongFlowCountMean,ocsLinkUtilization,oneHopPathFlows,opticalConnectionCount,opticalDirectFlows,opticalDirectRatio,p90ElectricalLinkUtilization,p90LinkUtilization,p90OcsLinkUtilization,p95ElectricalLinkUtilization,p95LinkUtilization,p95OcsLinkUtilization,pathConcentrationDeltaVsShortest,pathSignatureCountMax,pathSignatureCountMean,pathSignatureCountP95,pathTypeCounts,phaseShift,phaseShiftWrap,podPortUseMax,podPortUseMean,podPortUseMin,rawPsiTopKOverlap,rawSTopKOverlap,smdTop,strongFlowMismatchMean,structShortestMode,structuralMismatchMax,structuralMismatchMean,structuralMismatchP95,testBytes,testMixAWeight,testPerturbationMode,testPerturbationRatio,testTrafficModel,topCoverage,topKCoveredPairCount,topPsiPairs,topRawPairs,topSPairs,trafficFairEdges,trafficFairSelectionOrder,twoHopPathFlows,uniquePathSignatureCount,v8Edges,logFile,invalid,invalidReason
e-only,0.1,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,11,896,896,0,1,896,896,0,,1,true,0.00216933,0.00478634,0.00557033,1.56478,0.0614398,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.0614398,0,0,0,0,0,0,observe-test,1,0,1,896,1,10035200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.156255,0.156255,0,0.262695,0.262695,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,10035200,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.1__seed-1.log,false,
strong-topk-background-shortest,0.1,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,22,896,896,0,1,896,896,0,,1,true,0.00153661,0.00285286,0.00319471,1.58777,0.0760941,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66176,0.05,0,22,0.0245536,22,cross,0.25,0.57763,-0.03125,6,3,0.0709658,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,10035200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.240199,256,8,256,0.285714,0.137244,0.162772,0.290069,0.418846,0.396524,0.291719,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548822,0.463509,strong-topk-background-shortest,3.12766,1.06263,2.44157,10035200,0.3,none,0.2,ai-structural-decoy,0.57763,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.1__seed-1.log,false,
traffic-fair,0.1,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,16,896,896,0,1,896,896,0,,1,true,0.00160437,0.00308968,0.00342171,1.5872,0.0731439,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17084,0.05,0,0,0,0,cross,0.25,0.429692,0,3,3,0.0683475,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,10035200,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.226628,256,8,256,0.285714,0.127155,0.172252,0.329925,0.28933,0.328981,0.332232,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844686,0.310801,strong-topk-background-shortest,2.3936,0.74082,2.24114,10035200,0.3,none,0.2,ai-structural-decoy,0.429692,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.1__seed-1.log,false,
e-only,0.2,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,20,896,896,0,1,896,896,0,,1,true,0.0144353,0.041433,0.0463909,2.25018,0.0896758,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.0896758,0,0,0,0,0,0,observe-test,1,0,1,896,1,20070400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.240699,0.240699,0,0.330319,0.330319,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,20070400,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.2__seed-1.log,false,
strong-topk-background-shortest,0.2,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,33,896,896,0,1,896,896,0,,1,true,0.00734005,0.0201379,0.029857,2.70221,0.127113,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66175,0.05,0,22,0.0245536,22,cross,0.25,0.577628,-0.03125,6,3,0.11863,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,20070400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.398593,256,8,256,0.285714,0.24383,0.265482,0.465552,0.654592,0.615839,0.466918,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.548825,0.463506,strong-topk-background-shortest,3.12766,1.06263,2.44156,20070400,0.3,none,0.2,ai-structural-decoy,0.577628,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.2__seed-1.log,false,
traffic-fair,0.2,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,25,896,896,0,1,896,896,0,,1,true,0.00733634,0.0203728,0.0307231,2.72691,0.125446,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17084,0.05,0,0,0,0,cross,0.25,0.429694,0,3,3,0.117214,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,20070400,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.388856,256,8,256,0.285714,0.244458,0.252965,0.508342,0.550983,0.53285,0.517868,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844683,0.310799,strong-topk-background-shortest,2.3936,0.74082,2.24114,20070400,0.3,none,0.2,ai-structural-decoy,0.429694,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.2__seed-1.log,false,
e-only,0.3,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,26,896,896,0,1,896,896,0,,1,true,0.0304813,0.0823529,0.0873423,2.61341,0.104259,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.104259,0,0,0,0,0,0,observe-test,1,0,1,896,1,30105600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.284277,0.284277,0,0.358026,0.358026,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,30105600,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.3__seed-1.log,false,
strong-topk-background-shortest,0.3,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,45,896,896,0,1,896,896,0,,1,true,0.0182972,0.0586686,0.0687639,3.28557,0.150185,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,2.28571,1.66174,0.05,0,22,0.0245536,22,cross,0.25,0.577625,-0.03125,6,3,0.140372,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,30105600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,192,144,264,256,264,7.2111,136,112,0.464199,256,8,256,0.285714,0.312202,0.341985,0.540398,0.728019,0.7044,0.555934,0.0714286,16,14.9333,16,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,1,true,2,2,2,2,2,0.54883,0.463499,strong-topk-background-shortest,3.12766,1.06262,2.44153,30105600,0.3,none,0.2,ai-structural-decoy,0.577625,6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,256,60,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__strong-topk-background-shortest__load-0.3__seed-1.log,false,
traffic-fair,0.3,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,32,896,896,0,1,896,896,0,,1,true,0.018671,0.0568543,0.067972,3.30253,0.151719,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,2.28571,1.17085,0.05,0,0,0,0,cross,0.25,0.429696,0,3,4,0.141856,2,1.14286,4,128,0.142857,0,observe-test,4,384,1,0,0,30105600,data-parallel,0.7,tensor-community,ai-structural-decoy,true,256,152,288,256,276.8,16,160,104,0.467338,256,8,256,0.285714,0.318453,0.339249,0.593823,0.689123,0.652358,0.603772,0,16,16,16,ocs-shortest-direct:256|ocs-shortest-multihop:640,1,true,2,2,2,2,2,0.844677,0.310796,strong-topk-background-shortest,2.39362,0.740821,2.24113,30105600,0.3,none,0.2,ai-structural-decoy,0.429696,3,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|0-1|0-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-6|0-7|1-4|1-6|2-3|2-5|3-4|5-7,0-7|1-6|2-5|3-4|0-6|5-7|1-4|2-3,256,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__traffic-fair__load-0.3__seed-1.log,false,
e-only,0.4,0.4,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,0.08,1,5,1,34,896,896,0,1,896,896,0,,1,true,0.0497228,0.121502,0.127765,2.86931,0.113218,,1,0,0.05,NA,NA,NA,NA,cross,0.25,NA,NA,0,0,0.113218,0,0,0,0,0,0,observe-test,1,0,1,896,1,40140800,data-parallel,0.7,tensor-community,ai-structural-decoy,true,NA,NA,NA,NA,NA,NA,NA,NA,0,896,NA,0,0,0.315519,0.315519,0,0.397822,0.397822,0,NA,16,16,16,inter-pod-electrical:896,1,true,NA,NA,NA,2,2,NA,0,strong-topk-background-shortest,0,0,0,40140800,0.3,none,0.2,ai-structural-decoy,NA,NA,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,,,0,56,,results/smtra/ai-structural-decoy-three-strategy-performance-stop1p4/ai-structural-decoy__none__e-only__load-0.4__seed-1.log,false,
