offeredLoad,strategy,avgLinkUtilization
0.1,e-only,0.0614398
0.1,strong-topk-background-shortest,0.0760941
0.1,traffic-fair,0.0731439
0.2,e-only,0.0896758
0.2,strong-topk-background-shortest,0.127113
0.2,traffic-fair,0.125446
0.3,e-only,0.104259
0.3,strong-topk-background-shortest,0.150185
0.3,traffic-fair,0.151719
0.4,e-only,0.113218
0.4,strong-topk-background-shortest,0.168782
0.4,traffic-fair,0.169001
0.5,e-only,0.119072
0.5,strong-topk-background-shortest,0.184733
0.5,traffic-fair,0.182564
0.6,e-only,0.123573
0.6,strong-topk-background-shortest,0.198838
0.6,traffic-fair,0.194975
0.7,e-only,0.127271
0.7,strong-topk-background-shortest,0.212414
0.7,traffic-fair,0.205737
0.8,e-only,0.130644
0.8,strong-topk-background-shortest,0.22472
0.8,traffic-fair,0.215843
0.9,e-only,0.133594
0.9,strong-topk-background-shortest,0.236288
0.9,traffic-fair,0.224275
