offeredLoad,strategy,avgReceiverThroughputGbps,avgFctSeconds,avgLinkUtilization
0.1,e-only,1.3943,0.00158338,0.0548366
0.1,strong-topk-background-shortest,1.396,0.00131889,0.0672184
0.1,traffic-fair,1.39699,0.00135844,0.0646515
0.2,e-only,2.15363,0.0104415,0.0857363
0.2,strong-topk-background-shortest,2.51344,0.00503191,0.11884
0.2,traffic-fair,2.48082,0.00537879,0.114599
0.3,e-only,2.48131,0.0243099,0.0991589
0.3,strong-topk-background-shortest,3.07799,0.0139518,0.142062
0.3,traffic-fair,3.13705,0.0139246,0.143796
0.4,e-only,2.75534,0.0387319,0.109511
0.4,strong-topk-background-shortest,3.56343,0.0241292,0.159892
0.4,traffic-fair,3.53035,0.0251997,0.160905
0.5,e-only,2.94918,0.054072,0.115729
0.5,strong-topk-background-shortest,3.9882,0.0345983,0.174818
0.5,traffic-fair,3.84732,0.0371254,0.174237
0.6,e-only,3.10092,0.0691606,0.120205
0.6,strong-topk-background-shortest,4.38139,0.0452688,0.188275
0.6,traffic-fair,4.15986,0.049089,0.185765
0.7,e-only,3.24285,0.0843602,0.124002
0.7,strong-topk-background-shortest,4.75097,0.0559212,0.200666
0.7,traffic-fair,4.44261,0.0613387,0.196349
0.8,e-only,3.36255,0.0996127,0.127271
0.8,strong-topk-background-shortest,5.12218,0.0664604,0.212414
0.8,traffic-fair,4.7239,0.0734502,0.205737
0.9,e-only,3.48075,0.114386,0.130343
0.9,strong-topk-background-shortest,5.45849,0.0768945,0.223416
0.9,traffic-fair,4.99373,NA,0.214697
