matrixMode,observeTrafficModel,testTrafficModel,testPerturbationMode,testPerturbationRatio,phaseShift,phaseShiftWrap,communityRotationPattern,observeMixA,observeMixB,observeMixAWeight,testMixAWeight,neighborWeight,crossStageWeight,backgroundWeight,decoyBeta,structuralBonus,decoyHighActivity,decoyLowActivity,strategy,structShortestMode,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,observeBytes,testBytes,matrixAbsDiffBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,topRawPairs,topSPairs,topPsiPairs,rawPsiTopKOverlap,rawSTopKOverlap,activeOcsEdges,trafficFairEdges,trafficFairSelectionOrder,v8Edges,edgeOverlapWithTopRaw,edgeOverlapWithTopPsi,opticalConnectionCount,podPortUseMean,podPortUseMax,podPortUseMin,topKCoveredPairCount,topCoverage,smdTop,directStructuralWeightRatio,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,opticalDirectFlows,nonOpticalFlows,opticalDirectRatio,nonOpticalTrafficRatio,structuralMismatchMean,structuralMismatchP95,structuralMismatchMax,strongFlowMismatchMean,backgroundFlowMismatchMean,pathSignatureCountMax,pathSignatureCountP95,pathSignatureCountMean,uniquePathSignatureCount,ocsEdgeFlowCountMean,ocsEdgeFlowCountMax,ocsEdgeFlowCountP95,ocsEdgeFlowCountStd,ocsEdgeStrongFlowCountMean,ocsEdgeStrongFlowCountMax,ocsEdgeBackgroundFlowCountMean,ocsEdgeBackgroundFlowCountMax,changedPathFlowCount,changedPathFlowRatio,changedStrongPathFlowCount,changedBackgroundPathFlowCount,edgeFlowImbalanceDeltaVsShortest,pathConcentrationDeltaVsShortest,equalShortestPathCountMean,equalShortestPathCountMax,equalShortestPathPairCount,flowsWithMultipleShortestPaths,flowsWithMultipleShortestPathsRatio,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,p90FctSeconds,p95FctSeconds,throughputGbps,avgLinkUtilization,ocsLinkUtilization,electricalLinkUtilization,logFile,invalid,invalidReason
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.1,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,13,8780800,8780800,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.00158338,0.0031031,0.00357393,1.3943,0.0548366,0,0.0548366,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.1__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.2,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,19,17561600,17561600,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0104415,0.0288979,0.034547,2.15363,0.0857363,0,0.0857363,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.2__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.3,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,30,26342400,26342400,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0243099,0.0678832,0.0721619,2.48131,0.0991589,0,0.0991589,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.3__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.4,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,37,35123200,35123200,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0387319,0.1013,0.107477,2.75534,0.109511,0,0.109511,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.4__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.5,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,45,43904000,43904000,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.054072,0.136945,0.142755,2.94918,0.115729,0,0.115729,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.5__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.6,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,55,52684800,52684800,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0691606,0.171275,0.177312,3.10092,0.120205,0,0.120205,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.6__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.7,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,61,61465600,61465600,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0843602,0.204987,0.211271,3.24285,0.124002,0,0.124002,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.7__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.8,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,71,70246400,70246400,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.0996127,0.239353,0.2456,3.36255,0.127271,0,0.127271,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.8__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,e-only,strong-topk-background-shortest,0.9,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,79,79027200,79027200,0,896,896,0,1,true,inter-pod-electrical:896,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,896,0,0,0,896,0,1,0,0,0,0,0,16,16,16,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,896,896,0,1,true,0.114386,0.272475,0.279573,3.48075,0.130343,0,0.130343,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__e-only__load-0.9__seed-1.log,false,
observe-test,ai-structural-decoy,ai-structural-decoy,none,0.2,1,true,cross,data-parallel,tensor-community,0.7,0.3,1,0.25,0.05,0.08,1,5,1,strong-topk-background-shortest,strong-topk-background-shortest,0.1,0.35,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,17,8780800,8780800,0,896,896,0,1,true,ocs-struct-shortest-direct:256|ocs-struct-shortest-multihop:640,0-2|0-5|0-7|2-5|2-7|5-7|6-7|0-1,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,3-4|0-1|1-2|2-3|4-5|6-7|0-6|5-6,2,2,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,,,0-1|0-6|1-2|2-5|3-4|3-7|4-5|6-7,3,6,8,2,2,2,6,0.577632,0.548818,0.577632,256,256,384,256,0,0.285714,0,1.06264,2.44159,3.12766,0.463514,1.66177,16,16,14.9333,60,256,264,264,7.2111,112,136,144,192,22,0.0245536,22,0,-0.03125,0.0714286,1.14286,2,4,128,0.142857,2.28571,4,896,896,0,1,true,0.00131889,0.00236151,0.00260186,1.396,0.0672184,0.211927,0.0626962,results/smtra/ai-structural-decoy-three-strategy-performance/ai-structural-decoy__none__strong-topk-background-shortest__load-0.1__seed-1.log,false,
