trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
data-parallel,e-only,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000820125,0.8192,0.000317308,results/smtra/full/data-parallel__e-only__load-0.2__seed-1.log,false,
data-parallel,e-only,0.4,0.001,16384,10035200000,10035200,624,624,0,1,true,624,624,0,1,true,0.000831757,1.6384,0.000634142,results/smtra/full/data-parallel__e-only__load-0.4__seed-1.log,false,
data-parallel,e-only,0.6,0.001,16384,15052800000,15052800,928,928,0,1,true,928,928,0,1,true,0.000839596,2.4576,0.000950914,results/smtra/full/data-parallel__e-only__load-0.6__seed-1.log,false,
data-parallel,e-only,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.00084053,3.26925,0.00126611,results/smtra/full/data-parallel__e-only__load-0.8__seed-1.log,false,
data-parallel,e-only,0.9,0.001,16384,22579200000,22579200,1392,1392,0,1,true,1392,1392,0,1,true,0.000838896,3.6864,0.0014264,results/smtra/full/data-parallel__e-only__load-0.9__seed-1.log,false,
data-parallel,static-ocs,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000580789,0.8192,0.000224425,results/smtra/full/data-parallel__static-ocs__load-0.2__seed-1.log,false,
data-parallel,static-ocs,0.4,0.001,16384,10035200000,10035200,624,624,0,1,true,624,624,0,1,true,0.000588853,1.6384,0.000448699,results/smtra/full/data-parallel__static-ocs__load-0.4__seed-1.log,false,
data-parallel,static-ocs,0.6,0.001,16384,15052800000,15052800,928,928,0,1,true,928,928,0,1,true,0.00059464,2.4576,0.000673091,results/smtra/full/data-parallel__static-ocs__load-0.6__seed-1.log,false,
data-parallel,static-ocs,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595392,3.2768,0.000897406,results/smtra/full/data-parallel__static-ocs__load-0.8__seed-1.log,false,
data-parallel,static-ocs,0.9,0.001,16384,22579200000,22579200,1392,1392,0,1,true,1392,1392,0,1,true,0.000593659,3.6864,0.00100971,results/smtra/full/data-parallel__static-ocs__load-0.9__seed-1.log,false,
data-parallel,traffic-greedy,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000580789,0.8192,0.000224636,results/smtra/full/data-parallel__traffic-greedy__load-0.2__seed-1.log,false,
data-parallel,traffic-greedy,0.4,0.001,16384,10035200000,10035200,624,624,0,1,true,624,624,0,1,true,0.000588853,1.6384,0.00044912,results/smtra/full/data-parallel__traffic-greedy__load-0.4__seed-1.log,false,
data-parallel,traffic-greedy,0.6,0.001,16384,15052800000,15052800,928,928,0,1,true,928,928,0,1,true,0.00059464,2.4576,0.000673726,results/smtra/full/data-parallel__traffic-greedy__load-0.6__seed-1.log,false,
data-parallel,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595392,3.2768,0.000898251,results/smtra/full/data-parallel__traffic-greedy__load-0.8__seed-1.log,false,
data-parallel,traffic-greedy,0.9,0.001,16384,22579200000,22579200,1392,1392,0,1,true,1392,1392,0,1,true,0.000593659,3.6864,0.00101067,results/smtra/full/data-parallel__traffic-greedy__load-0.9__seed-1.log,false,
data-parallel,v8,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000624713,0.8192,0.000276434,results/smtra/full/data-parallel__v8__load-0.2__seed-1.log,false,
data-parallel,v8,0.4,0.001,16384,10035200000,10035200,624,624,0,1,true,624,624,0,1,true,0.000633531,1.6384,0.000552642,results/smtra/full/data-parallel__v8__load-0.4__seed-1.log,false,
data-parallel,v8,0.6,0.001,16384,15052800000,15052800,928,928,0,1,true,928,928,0,1,true,0.000639702,2.4576,0.000828896,results/smtra/full/data-parallel__v8__load-0.6__seed-1.log,false,
data-parallel,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000640502,3.2768,0.00110517,results/smtra/full/data-parallel__v8__load-0.8__seed-1.log,false,
data-parallel,v8,0.9,0.001,16384,22579200000,22579200,1392,1392,0,1,true,1392,1392,0,1,true,0.000638658,3.6864,0.00124339,results/smtra/full/data-parallel__v8__load-0.9__seed-1.log,false,
pipeline,e-only,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000834659,0.8192,0.000317287,results/smtra/full/pipeline__e-only__load-0.2__seed-1.log,false,
pipeline,e-only,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.00083828,1.6384,0.00063369,results/smtra/full/pipeline__e-only__load-0.4__seed-1.log,false,
pipeline,e-only,0.6,0.001,16384,15052800000,15052800,924,924,0,1,true,924,924,0,1,true,0.000839084,2.4576,0.000949577,results/smtra/full/pipeline__e-only__load-0.6__seed-1.log,false,
