trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
data-parallel,e-only,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000820125,0.8192,0.000317308,results/smtra/pilot-manual/data-parallel__e-only__load-0.2.log,false,
data-parallel,e-only,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.00084053,3.26925,0.00126611,results/smtra/pilot-manual/data-parallel__e-only__load-0.8.log,false,
data-parallel,static-ocs,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000580789,0.8192,0.000224425,results/smtra/pilot-manual/data-parallel__static-ocs__load-0.2.log,false,
data-parallel,static-ocs,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595392,3.2768,0.000897406,results/smtra/pilot-manual/data-parallel__static-ocs__load-0.8.log,false,
data-parallel,traffic-greedy,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000580789,0.8192,0.000224636,results/smtra/pilot-manual/data-parallel__traffic-greedy__load-0.2.log,false,
data-parallel,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595392,3.2768,0.000898251,results/smtra/pilot-manual/data-parallel__traffic-greedy__load-0.8.log,false,
data-parallel,v8,0.2,0.001,16384,5017600000,5017600,320,320,0,1,true,320,320,0,1,true,0.000624713,0.8192,0.000276434,results/smtra/pilot-manual/data-parallel__v8__load-0.2.log,false,
data-parallel,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000640502,3.2768,0.00110517,results/smtra/pilot-manual/data-parallel__v8__load-0.8.log,false,
pipeline,e-only,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000834659,0.8192,0.000317287,results/smtra/pilot-manual/pipeline__e-only__load-0.2.log,false,
pipeline,e-only,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000840919,3.2731,0.00126613,results/smtra/pilot-manual/pipeline__e-only__load-0.8.log,false,
pipeline,static-ocs,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000589973,0.8192,0.000224055,results/smtra/pilot-manual/pipeline__static-ocs__load-0.2.log,false,
pipeline,static-ocs,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595647,3.2768,0.000897078,results/smtra/pilot-manual/pipeline__static-ocs__load-0.8.log,false,
pipeline,traffic-greedy,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000589927,0.8192,0.00022757,results/smtra/pilot-manual/pipeline__traffic-greedy__load-0.2.log,false,
pipeline,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595647,3.2768,0.000911183,results/smtra/pilot-manual/pipeline__traffic-greedy__load-0.8.log,false,
pipeline,v8,0.2,0.001,16384,5017600000,5017600,308,308,0,1,true,308,308,0,1,true,0.000615494,0.8192,0.000263904,results/smtra/pilot-manual/pipeline__v8__load-0.2.log,false,
pipeline,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000621435,3.27588,0.00105582,results/smtra/pilot-manual/pipeline__v8__load-0.8.log,false,
tensor-community,e-only,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000828969,0.8192,0.000315865,results/smtra/pilot-manual/tensor-community__e-only__load-0.2.log,false,
tensor-community,e-only,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000840021,3.26333,0.00126409,results/smtra/pilot-manual/tensor-community__e-only__load-0.8.log,false,
tensor-community,static-ocs,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.000224139,results/smtra/pilot-manual/tensor-community__static-ocs__load-0.2.log,false,
tensor-community,static-ocs,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000896591,results/smtra/pilot-manual/tensor-community__static-ocs__load-0.8.log,false,
tensor-community,traffic-greedy,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.000224981,results/smtra/pilot-manual/tensor-community__traffic-greedy__load-0.2.log,false,
tensor-community,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000899974,results/smtra/pilot-manual/tensor-community__traffic-greedy__load-0.8.log,false,
tensor-community,v8,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.00024921,results/smtra/pilot-manual/tensor-community__v8__load-0.2.log,false,
tensor-community,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000996894,results/smtra/pilot-manual/tensor-community__v8__load-0.8.log,false,
