trafficModel,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
data-parallel,e-only,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,2,501760000,501760,256,256,0,1,true,inter-pod-electrical:256,256,0,0,1,1,256,256,0,1,true,0.000377842,0.08192,0.000359971,results/smtra/pilot-new-defaults/data-parallel__e-only__load-0.2__seed-1.log,false,
data-parallel,e-only,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,4,2007040000,2007040,256,256,0,1,true,inter-pod-electrical:256,256,0,0,1,1,256,256,0,1,true,0.00063294,0.32768,0.00129052,results/smtra/pilot-new-defaults/data-parallel__e-only__load-0.8__seed-1.log,false,
data-parallel,static-ocs,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,501760000,501760,256,256,0,1,true,ocs-shortest-direct:96|ocs-shortest-multihop:160,96,64,96,2,3,256,256,0,1,true,0.000362508,0.08192,0.000411565,results/smtra/pilot-new-defaults/data-parallel__static-ocs__load-0.2__seed-1.log,false,
data-parallel,static-ocs,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,8,2007040000,2007040,256,256,0,1,true,ocs-shortest-direct:96|ocs-shortest-multihop:160,96,64,96,2,3,256,256,0,1,true,0.000591368,0.32768,0.00150229,results/smtra/pilot-new-defaults/data-parallel__static-ocs__load-0.8__seed-1.log,false,
data-parallel,traffic-greedy,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,6,501760000,501760,256,256,0,1,true,ocs-shortest-direct:256,256,0,0,1,1,256,256,0,1,true,0.000272021,0.08192,0.000277057,results/smtra/pilot-new-defaults/data-parallel__traffic-greedy__load-0.2__seed-1.log,false,
data-parallel,traffic-greedy,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,2007040000,2007040,256,256,0,1,true,ocs-shortest-direct:256,256,0,0,1,1,256,256,0,1,true,0.000455391,0.32768,0.000996798,results/smtra/pilot-new-defaults/data-parallel__traffic-greedy__load-0.8__seed-1.log,false,
data-parallel,v8,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,501760000,501760,256,256,0,1,true,smtra-direct:192|smtra-two-hop:64,192,64,0,1.25,2,256,256,0,1,true,0.000292262,0.08192,0.000311478,results/smtra/pilot-new-defaults/data-parallel__v8__load-0.2__seed-1.log,false,
data-parallel,v8,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,7,2007040000,2007040,256,256,0,1,true,smtra-direct:192|smtra-two-hop:64,192,64,0,1.25,2,256,256,0,1,true,0.000485377,0.32768,0.00112411,results/smtra/pilot-new-defaults/data-parallel__v8__load-0.8__seed-1.log,false,
pipeline,e-only,0.2,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,2,501760000,501760,224,224,0,1,true,inter-pod-electrical:224,224,0,0,1,1,224,224,0,1,true,0.000378302,0.08192,0.000355477,results/smtra/pilot-new-defaults/pipeline__e-only__load-0.2__seed-1.log,false,
pipeline,e-only,0.8,0.001,fixed-flows-per-pair,16384,16,3.2Gbps,10Gbps,2,2,10000000000,3,2007040000,2007040,224,224,0,1,true,inter-pod-electrical:224,224,0,0,1,1,224,224,0,1,true,0.000635317,0.32768,0.00128406,results/smtra/pilot-new-defaults/pipeline__e-only__load-0.8__seed-1.log,false,
