trafficModel,strategy,offeredLoad,workloadScale,flowGenerationMode,messageSizeBytes,flowsPerActivePair,electricalDataRate,ocsDataRate,memsCount,podPortLimitB,circuitCapacityBps,runtimeSeconds,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
data-parallel,e-only,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,39,50176000,50176000,256,256,0,1,true,inter-pod-electrical:256,256,0,0,1,1,256,256,0,1,true,0.0792551,3.31441,0.120248,results/smtra/scale-0.1/data-parallel__e-only__load-0.2__seed-1.log,false,
data-parallel,e-only,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,66,200704000,200704000,256,256,0,1,true,inter-pod-electrical:256,256,0,0,1,1,256,42,214,0.164062,false,NaN,3.66484,0.127579,results/smtra/scale-0.1/data-parallel__e-only__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
data-parallel,static-ocs,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,44,50176000,50176000,256,256,0,1,true,ocs-shortest-direct:96|ocs-shortest-multihop:160,96,64,96,2,3,256,245,11,0.957031,false,NaN,3.67572,0.148336,results/smtra/scale-0.1/data-parallel__static-ocs__load-0.2__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
data-parallel,static-ocs,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,75,200704000,200704000,256,256,0,1,true,ocs-shortest-direct:96|ocs-shortest-multihop:160,96,64,96,2,3,256,68,188,0.265625,false,NaN,4.40439,0.172975,results/smtra/scale-0.1/data-parallel__static-ocs__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
data-parallel,traffic-greedy,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,36,50176000,50176000,256,256,0,1,true,ocs-shortest-direct:256,256,0,0,1,1,256,256,0,1,true,0.0114955,7.42335,0.219967,results/smtra/scale-0.1/data-parallel__traffic-greedy__load-0.2__seed-1.log,false,
data-parallel,traffic-greedy,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,131,200704000,200704000,256,256,0,1,true,ocs-shortest-direct:256,256,0,0,1,1,256,256,0,1,true,0.081089,11.7258,0.356809,results/smtra/scale-0.1/data-parallel__traffic-greedy__load-0.8__seed-1.log,false,
data-parallel,v8,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,36,50176000,50176000,256,256,0,1,true,smtra-direct:256,256,0,0,1,1,256,256,0,1,true,0.0114955,7.42335,0.219967,results/smtra/scale-0.1/data-parallel__v8__load-0.2__seed-1.log,false,
data-parallel,v8,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,133,200704000,200704000,256,256,0,1,true,smtra-direct:256,256,0,0,1,1,256,256,0,1,true,0.081089,11.7258,0.356809,results/smtra/scale-0.1/data-parallel__v8__load-0.8__seed-1.log,false,
pipeline,e-only,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,41,50176000,50176000,224,224,0,1,true,inter-pod-electrical:224,224,0,0,1,1,224,224,0,1,true,0.0919528,3.06495,0.110418,results/smtra/scale-0.1/pipeline__e-only__load-0.2__seed-1.log,false,
pipeline,e-only,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,62,200704000,200704000,224,224,0,1,true,inter-pod-electrical:224,224,0,0,1,1,224,28,196,0.125,false,NaN,3.25643,0.114622,results/smtra/scale-0.1/pipeline__e-only__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
pipeline,static-ocs,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,45,50176000,50176000,224,224,0,1,true,ocs-shortest-direct:64|ocs-shortest-multihop:160,64,64,96,2.14286,3,224,124,100,0.553571,false,NaN,3.16491,0.134356,results/smtra/scale-0.1/pipeline__static-ocs__load-0.2__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
pipeline,static-ocs,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,67,200704000,200704000,224,224,0,1,true,ocs-shortest-direct:64|ocs-shortest-multihop:160,64,64,96,2.14286,3,224,48,176,0.214286,false,NaN,3.47591,0.145747,results/smtra/scale-0.1/pipeline__static-ocs__load-0.8__seed-1.log,true,fullyCompleted!=true;avgFctSeconds_invalid
pipeline,traffic-greedy,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,37,50176000,50176000,224,224,0,1,true,ocs-shortest-direct:224,224,0,0,1,1,224,224,0,1,true,0.0131858,7.26499,0.216364,results/smtra/scale-0.1/pipeline__traffic-greedy__load-0.2__seed-1.log,false,
pipeline,traffic-greedy,0.8,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,138,200704000,200704000,224,224,0,1,true,ocs-shortest-direct:224,224,0,0,1,1,224,224,0,1,true,0.097439,10.236,0.312584,results/smtra/scale-0.1/pipeline__traffic-greedy__load-0.8__seed-1.log,false,
pipeline,v8,0.2,1,fixed-flows-per-pair,16384,16,320Mbps,1Gbps,2,2,1000000000,36,50176000,50176000,224,224,0,1,true,smtra-direct:224,224,0,0,1,1,224,224,0,1,true,0.0131858,7.26499,0.216364,results/smtra/scale-0.1/pipeline__v8__load-0.2__seed-1.log,false,
