trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,runtimeSeconds,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,pathTypeCounts,oneHopPathFlows,twoHopPathFlows,multiHopPathFlows,avgPathHopCount,maxPathHopCount,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
data-parallel,e-only,0.2,0.01,16384,,5017600000,50176000,3072,3072,0,1,true,inter-pod-electrical:3072,3072,0,0,1,1,3072,3072,0,1,true,0.000843314,8.16387,0.0031594,results/smtra/scale-pilot-0.01/data-parallel__e-only__load-0.2__seed-1.log,false,
data-parallel,e-only,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,inter-pod-electrical:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000843497,32.4306,0.0125534,results/smtra/scale-pilot-0.01/data-parallel__e-only__load-0.8__seed-1.log,false,
data-parallel,static-ocs,0.2,0.01,16384,,5017600000,50176000,3072,3072,0,1,true,ocs-shortest-direct:3072,3072,0,0,1,1,3072,3072,0,1,true,0.000598111,8.16822,0.00224078,results/smtra/scale-pilot-0.01/data-parallel__static-ocs__load-0.2__seed-1.log,false,
data-parallel,static-ocs,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,ocs-shortest-direct:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000597714,32.5361,0.00892048,results/smtra/scale-pilot-0.01/data-parallel__static-ocs__load-0.8__seed-1.log,false,
data-parallel,traffic-greedy,0.2,0.01,16384,,5017600000,50176000,3072,3072,0,1,true,ocs-shortest-direct:3072,3072,0,0,1,1,3072,3072,0,1,true,0.000598095,8.16822,0.00224289,results/smtra/scale-pilot-0.01/data-parallel__traffic-greedy__load-0.2__seed-1.log,false,
data-parallel,traffic-greedy,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,ocs-shortest-direct:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000597675,32.5361,0.00892888,results/smtra/scale-pilot-0.01/data-parallel__traffic-greedy__load-0.8__seed-1.log,false,
data-parallel,v8,0.2,0.01,16384,,5017600000,50176000,3072,3072,0,1,true,smtra-direct:2304|smtra-two-hop:768,2304,768,0,1.25,2,3072,3072,0,1,true,0.000642603,8.16102,0.00275718,results/smtra/scale-pilot-0.01/data-parallel__v8__load-0.2__seed-1.log,false,
data-parallel,v8,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,smtra-direct:9192|smtra-two-hop:3064,9192,3064,0,1.25,2,12256,12256,0,1,true,0.000642863,32.5166,0.0109762,results/smtra/scale-pilot-0.01/data-parallel__v8__load-0.8__seed-1.log,false,
pipeline,e-only,0.2,0.01,16384,,5017600000,50176000,3066,3066,0,1,true,inter-pod-electrical:3066,3066,0,0,1,1,3066,3066,0,1,true,0.000842291,8.12575,0.00314626,results/smtra/scale-pilot-0.01/pipeline__e-only__load-0.2__seed-1.log,false,
pipeline,e-only,0.8,0.01,16384,,20070400000,200704000,12250,12250,0,1,true,inter-pod-electrical:12250,12250,0,0,1,1,12250,12250,0,1,true,0.00084541,32.4136,0.0125444,results/smtra/scale-pilot-0.01/pipeline__e-only__load-0.8__seed-1.log,false,
pipeline,static-ocs,0.2,0.01,16384,,5017600000,50176000,3066,3066,0,1,true,ocs-shortest-direct:3066,3066,0,0,1,1,3066,3066,0,1,true,0.000596849,8.15832,0.0022358,results/smtra/scale-pilot-0.01/pipeline__static-ocs__load-0.2__seed-1.log,false,
pipeline,static-ocs,0.8,0.01,16384,,20070400000,200704000,12250,12250,0,1,true,ocs-shortest-direct:12250,12250,0,0,1,1,12250,12250,0,1,true,0.000597621,32.5258,0.00891187,results/smtra/scale-pilot-0.01/pipeline__static-ocs__load-0.8__seed-1.log,false,
pipeline,traffic-greedy,0.2,0.01,16384,,5017600000,50176000,3066,3066,0,1,true,ocs-shortest-direct:3066,3066,0,0,1,1,3066,3066,0,1,true,0.000596815,8.15832,0.00227095,results/smtra/scale-pilot-0.01/pipeline__traffic-greedy__load-0.2__seed-1.log,false,
pipeline,traffic-greedy,0.8,0.01,16384,,20070400000,200704000,12250,12250,0,1,true,ocs-shortest-direct:12250,12250,0,0,1,1,12250,12250,0,1,true,0.000597588,32.5258,0.00905199,results/smtra/scale-pilot-0.01/pipeline__traffic-greedy__load-0.8__seed-1.log,false,
pipeline,v8,0.2,0.01,16384,,5017600000,50176000,3066,3066,0,1,true,smtra-direct:2628|smtra-two-hop:438,2628,438,0,1.14286,2,3066,3066,0,1,true,0.000622645,8.15472,0.00262938,results/smtra/scale-pilot-0.01/pipeline__v8__load-0.2__seed-1.log,false,
pipeline,v8,0.8,0.01,16384,,20070400000,200704000,12250,12250,0,1,true,smtra-direct:10500|smtra-two-hop:1750,10500,1750,0,1.14286,2,12250,12250,0,1,true,0.000623453,32.5115,0.0104833,results/smtra/scale-pilot-0.01/pipeline__v8__load-0.8__seed-1.log,false,
tensor-community,e-only,0.2,0.01,16384,,5017600000,50176000,3064,3064,0,1,true,inter-pod-electrical:3064,3064,0,0,1,1,3064,3064,0,1,true,0.000842647,8.10302,0.00313396,results/smtra/scale-pilot-0.01/tensor-community__e-only__load-0.2__seed-1.log,false,
tensor-community,e-only,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,inter-pod-electrical:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000843066,32.4212,0.0125486,results/smtra/scale-pilot-0.01/tensor-community__e-only__load-0.8__seed-1.log,false,
tensor-community,static-ocs,0.2,0.01,16384,,5017600000,50176000,3064,3064,0,1,true,ocs-shortest-direct:3064,3064,0,0,1,1,3064,3064,0,1,true,0.000597149,8.13632,0.00222956,results/smtra/scale-pilot-0.01/tensor-community__static-ocs__load-0.2__seed-1.log,false,
tensor-community,static-ocs,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,ocs-shortest-direct:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000597624,32.5249,0.00890959,results/smtra/scale-pilot-0.01/tensor-community__static-ocs__load-0.8__seed-1.log,false,
tensor-community,traffic-greedy,0.2,0.01,16384,,5017600000,50176000,3064,3064,0,1,true,ocs-shortest-direct:3064,3064,0,0,1,1,3064,3064,0,1,true,0.00059719,8.13632,0.00223797,results/smtra/scale-pilot-0.01/tensor-community__traffic-greedy__load-0.2__seed-1.log,false,
tensor-community,traffic-greedy,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,ocs-shortest-direct:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000597631,32.5249,0.00894321,results/smtra/scale-pilot-0.01/tensor-community__traffic-greedy__load-0.8__seed-1.log,false,
tensor-community,v8,0.2,0.01,16384,,5017600000,50176000,3064,3064,0,1,true,smtra-direct:3064,3064,0,0,1,1,3064,3064,0,1,true,0.00059719,8.13632,0.00247899,results/smtra/scale-pilot-0.01/tensor-community__v8__load-0.2__seed-1.log,false,
tensor-community,v8,0.8,0.01,16384,,20070400000,200704000,12256,12256,0,1,true,smtra-direct:12256,12256,0,0,1,1,12256,12256,0,1,true,0.000597631,32.5249,0.00990632,results/smtra/scale-pilot-0.01/tensor-community__v8__load-0.8__seed-1.log,false,
