scheme,rho,metric,seed_count,metric_mean,metric_std,ci95_low,ci95_high,ci95_half_width,ci95_half_width_ratio
electrical-only,0.3,avg_fct_completed_only_ms,1,51.5549738898,0,51.5549738898,51.5549738898,0,0
electrical-only,0.3,avg_fct_ms,1,51.5549738898,0,51.5549738898,51.5549738898,0,0
electrical-only,0.3,avg_receiver_throughput_gbps,1,0.007825,0,0.007825,0.007825,0,0
electrical-only,0.3,avg_receiver_throughput_installed_dest_gbps,1,0.007825,0,0.007825,0.007825,0,0
electrical-only,0.3,total_received_gbps,1,0.5008,0,0.5008,0.5008,0,0
electrical-only,0.3,avg_receiver_throughput_fraction_of_access_capacity,1,0.07825,0,0.07825,0.07825,0,0
electrical-only,0.3,install_rate,1,1,0,1,1,0,0
electrical-only,0.3,completion_rate_generated,1,1,0,1,1,0,0
electrical-only,0.3,completion_rate_installed,1,1,0,1,1,0,0
electrical-only,0.3,uninstalled_flows,1,0,0,0,0,0,0
electrical-only,0.3,installed_incomplete_flows,1,0,0,0,0,0,0
electrical-only,0.3,deferred_arrivals,1,0,0,0,0,0,0
electrical-only,0.3,stage_boundary_blocked_count,1,0,0,0,0,0,0
static-ocs,0.3,avg_fct_completed_only_ms,1,3.39729200639,0,3.39729200639,3.39729200639,0,0
static-ocs,0.3,avg_fct_ms,1,3.39729200639,0,3.39729200639,3.39729200639,0,0
static-ocs,0.3,avg_receiver_throughput_gbps,1,0.007825,0,0.007825,0.007825,0,0
static-ocs,0.3,avg_receiver_throughput_installed_dest_gbps,1,0.007825,0,0.007825,0.007825,0,0
static-ocs,0.3,total_received_gbps,1,0.5008,0,0.5008,0.5008,0,0
static-ocs,0.3,avg_receiver_throughput_fraction_of_access_capacity,1,0.07825,0,0.07825,0.07825,0,0
static-ocs,0.3,install_rate,1,1,0,1,1,0,0
static-ocs,0.3,completion_rate_generated,1,1,0,1,1,0,0
static-ocs,0.3,completion_rate_installed,1,1,0,1,1,0,0
static-ocs,0.3,uninstalled_flows,1,0,0,0,0,0,0
static-ocs,0.3,installed_incomplete_flows,1,0,0,0,0,0,0
static-ocs,0.3,deferred_arrivals,1,35,0,35,35,0,0
static-ocs,0.3,stage_boundary_blocked_count,1,10,0,10,10,0,0
tl-hoc,0.3,avg_fct_completed_only_ms,1,3.39729200639,0,3.39729200639,3.39729200639,0,0
tl-hoc,0.3,avg_fct_ms,1,3.39729200639,0,3.39729200639,3.39729200639,0,0
tl-hoc,0.3,avg_receiver_throughput_gbps,1,0.007825,0,0.007825,0.007825,0,0
tl-hoc,0.3,avg_receiver_throughput_installed_dest_gbps,1,0.007825,0,0.007825,0.007825,0,0
tl-hoc,0.3,total_received_gbps,1,0.5008,0,0.5008,0.5008,0,0
tl-hoc,0.3,avg_receiver_throughput_fraction_of_access_capacity,1,0.07825,0,0.07825,0.07825,0,0
tl-hoc,0.3,install_rate,1,1,0,1,1,0,0
tl-hoc,0.3,completion_rate_generated,1,1,0,1,1,0,0
tl-hoc,0.3,completion_rate_installed,1,1,0,1,1,0,0
tl-hoc,0.3,uninstalled_flows,1,0,0,0,0,0,0
tl-hoc,0.3,installed_incomplete_flows,1,0,0,0,0,0,0
tl-hoc,0.3,deferred_arrivals,1,35,0,35,35,0,0
tl-hoc,0.3,stage_boundary_blocked_count,1,10,0,10,10,0,0
