experiment,scheme,traffic_pattern,run_id,flow_id,source_tor,source_server,destination_tor,destination_server,path_type,size_bytes,received_bytes,start_time_s,completion_time_s,fct_s,completed
audit-tl-hoc,tl-hoc,community-local,7,0,0,0,1,1,optical-direct,50000,50000,0.001,0.001549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,1,1,1,2,2,optical-direct,50000,50000,0.0015,0.002049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,2,2,2,3,3,optical-direct,50000,50000,0.002,0.002549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,3,3,3,0,4,optical-direct,50000,50000,0.0025,0.003049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,4,4,4,5,5,optical-direct,50000,50000,0.003,0.003549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,5,5,5,6,6,optical-direct,50000,50000,0.0035,0.004049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,6,6,6,7,7,optical-direct,50000,50000,0.004,0.004549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,7,7,7,4,8,optical-direct,50000,50000,0.0045,0.005049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,8,0,8,1,9,optical-direct,50000,50000,0.005,0.005549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,9,1,9,2,10,optical-direct,50000,50000,0.0055,0.006049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,10,2,10,3,11,optical-direct,50000,50000,0.006,0.006549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,11,3,11,0,12,optical-direct,50000,50000,0.0065,0.007049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,12,4,12,5,13,optical-direct,50000,50000,0.007,0.007549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,13,5,13,6,14,optical-direct,50000,50000,0.0075,0.008049061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,14,6,14,7,15,optical-direct,50000,50000,0.008,0.008549061,0.000549061,true
audit-tl-hoc,tl-hoc,community-local,7,15,7,15,4,0,optical-direct,50000,50000,0.0085,0.009049061,0.000549061,true
